IDP	KEY	MT
1	201301	2005.9
1	201302	1122.5
1	201303	1763.5
1	201304	1814.8
1	201305	999.5
1	201306	2704.1
1	201307	3468.1
1	201308	4093.2
1	201309	1990.7
1	201310	2898.3
1	201311	3673.5
1	201312	776.0
1	201401	186.5
1	201402	5.0
1	201403	1289.5
1	201404	638.0
1	201405	1407.9
1	201406	1839.4
1	201407	1923.5
1	201408	2632.0
1	201409	3728.5
1	201410	1213.0
1	201411	444.0
2	201301	1071.1
2	201302	648.8
2	201303	704.3
2	201304	755.0
2	201305	624.4
2	201306	1619.0
2	201307	1779.5
2	201308	2127.8
2	201309	1228.2
2	201310	1509.0
2	201311	2845.5
2	201312	996.5
2	201401	44.5
2	201402	0.5
2	201403	761.1
2	201404	490.5
2	201405	883.9
2	201406	1069.0
2	201407	1526.5
2	201408	1268.0
2	201409	1597.7
2	201410	1009.0
2	201411	353.1
3	201301	784.0
3	201302	396.7
3	201303	599.4
3	201304	397.6
3	201305	358.9
3	201306	1088.7
3	201307	1034.7
3	201308	1233.2
3	201309	930.7
3	201310	995.0
3	201311	1511.3
3	201312	412.5
3	201401	48.5
3	201402	2.5
3	201403	597.0
3	201404	226.5
3	201405	416.6
3	201406	589.0
3	201407	648.0
3	201408	1114.0
3	201409	1119.5
3	201410	342.5
3	201411	264.0
5	201301	1419.1
5	201302	675.3
5	201303	707.1
5	201304	553.0
5	201305	885.8
5	201306	1622.3
5	201307	1473.8
5	201308	1353.8
5	201309	1504.5
5	201310	1886.1
5	201311	1619.0
5	201312	207.5
5	201401	151.5
5	201402	4.5
5	201403	539.0
5	201404	1024.5
5	201405	935.9
5	201406	881.9
5	201407	877.5
5	201408	1370.5
5	201409	1454.0
5	201410	1011.5
5	201411	378.5
6	201301	329.2
6	201302	79.0
6	201303	147.0
6	201304	184.5
6	201305	210.5
6	201306	741.3
6	201307	1068.5
6	201308	966.0
6	201309	519.0
6	201310	726.5
6	201311	309.0
6	201312	37.5
6	201403	79.0
6	201404	129.5
6	201405	1445.5
6	201406	962.0
6	201407	526.0
6	201408	1124.0
6	201409	1722.5
6	201410	829.5
6	201411	312.5
7	201301	2690.7
7	201302	1376.5
7	201303	1095.0
7	201304	625.0
7	201305	1003.0
7	201306	2288.0
7	201307	2703.5
7	201308	3460.6
7	201309	1979.3
7	201310	2176.2
7	201311	2542.0
7	201312	258.0
7	201401	94.0
7	201402	29.5
7	201403	1314.0
7	201404	1434.5
7	201405	2789.0
7	201406	1957.5
7	201407	2933.5
7	201408	2918.8
7	201409	3364.6
7	201410	1341.0
7	201411	712.5
8	201301	646.0
8	201302	282.0
8	201303	753.5
8	201304	393.5
8	201305	723.5
8	201306	1019.5
8	201307	981.0
8	201308	772.5
8	201309	498.0
8	201310	255.0
8	201311	1709.5
8	201312	536.5
8	201403	85.5
8	201404	992.0
8	201405	6.5
11	201301	476.4
11	201302	448.0
11	201303	631.5
11	201304	120.5
11	201305	285.0
11	201306	710.5
11	201307	229.9
11	201308	746.5
11	201309	1183.0
11	201310	654.5
11	201311	310.0
11	201312	3.0
11	201403	1096.0
11	201404	312.0
11	201405	3.0
18	201302	1261.5
18	201303	18540.5
18	201304	24837.0
18	201305	36061.0
18	201306	51678.0
18	201307	60513.0
18	201308	46967.5
18	201309	44937.5
18	201310	36079.0
18	201311	52155.5
18	201312	135343.5
18	201401	211963.5
18	201402	272651.0
18	201403	221024.0
18	201404	97936.0
18	201405	105547.5
18	201406	114231.0
18	201407	120060.0
18	201408	107638.0
18	201409	121193.5
18	201410	156668.0
18	201411	142455.5
19	201302	1639.5
19	201303	7877.5
19	201304	7715.5
19	201305	20632.5
19	201306	30435.0
19	201307	30322.0
19	201308	31791.5
19	201309	32435.5
19	201310	33962.5
19	201311	81404.0
19	201312	579082.5
19	201401	160578.0
19	201402	172389.0
19	201403	202331.0
19	201404	232356.0
19	201405	134382.5
19	201406	136763.0
19	201407	135121.0
19	201408	139351.5
19	201409	184373.0
19	201410	241752.0
19	201411	248344.0
20	201302	273.0
20	201303	2118.0
20	201304	2068.5
20	201305	3753.5
20	201306	4427.0
20	201307	5257.0
20	201308	4685.5
20	201309	5192.5
20	201310	6375.5
20	201311	6743.0
20	201312	12842.5
20	201401	15610.5
20	201402	27423.5
20	201403	19134.0
20	201404	8981.5
20	201405	18359.0
20	201406	16793.5
20	201407	17410.5
20	201408	16779.5
20	201409	15965.0
20	201410	17453.5
20	201411	19874.0
21	201302	865.5
21	201303	3137.5
21	201304	4495.5
21	201305	5339.5
21	201306	7979.5
21	201307	7357.5
21	201308	7695.5
21	201309	7523.0
21	201310	8819.5
21	201311	9735.0
21	201312	15435.5
21	201401	21800.0
21	201402	33171.0
21	201403	25868.5
21	201404	16741.5
21	201405	20776.0
21	201406	25766.0
21	201407	29644.0
21	201408	25978.0
21	201409	25178.5
21	201410	25185.0
21	201411	23587.0
22	201302	49.5
22	201303	1727.5
22	201304	825.0
22	201305	1121.5
22	201306	1511.0
22	201307	1774.5
