	KEYMIN2	DIF	MT	IDC
0	24157	0	9422.4	52
1	24157	1	9818.8	39
2	24157	2	16880.55	35
3	24157	3	10708.85	29
4	24157	4	14904.05	30
5	24157	5	19246.45	32
6	24157	6	12915.55	31
7	24157	7	17629.55	30
8	24157	8	13727.9	28
9	24157	9	16135.75	31
10	24157	10	20290.05	31
11	24157	11	20130.7	31
12	24157	12	17923.85	33
13	24157	13	27461.65	31
14	24157	14	22614.7	29
15	24157	15	17941.65	28
16	24157	16	17092.8	29
17	24157	17	16035.25	27
18	24157	18	18184.65	27
19	24157	19	16477.1	27
20	24157	20	16896.75	27
21	24157	21	39509.25	26
22	24157	22	13435.35	24
23	24158	0	1268.5	32
24	24158	1	2633.0	22
25	24158	2	1895.0	16
26	24158	3	1438.0	10
27	24158	4	2448.5	12
28	24158	5	10809.2	10
29	24158	6	6369.0	11
30	24158	7	1447.5	10
31	24158	8	1651.0	14
32	24158	9	1748.5	12
33	24158	10	3923.5	16
34	24158	11	6088.0	14
35	24158	12	2059.5	13
36	24158	13	2992.5	13
37	24158	14	1493.5	11
38	24158	15	1802.0	12
39	24158	16	1259.75	11
40	24158	17	1467.9	11
41	24158	18	4132.8	10
42	24158	19	5676.5	10
43	24158	20	6373.0	12
44	24158	21	1860.5	10
45	24159	0	29747.9	75
46	24159	1	32746.15	49
47	24159	2	35167.6	38
48	24159	3	50750.65	42
49	24159	4	51882.65	35
50	24159	5	35816.2	35
51	24159	6	38482.65	32
52	24159	7	25844.6	39
53	24159	8	32927.55	32
54	24159	9	32417.5	36
55	24159	10	43135.6	37
56	24159	11	42607.65	33
57	24159	12	47950.6	32
58	24159	13	27846.45	31
59	24159	14	34937.75	28
60	24159	15	23590.1	28
61	24159	16	22205.9	24
62	24159	17	18736.1	29
63	24159	18	14030.3	24
64	24159	19	41303.05	26
65	24159	20	31840.8	21
66	24160	0	11417.95	34
67	24160	1	23998.6	22
68	24160	2	18683.4	22
69	24160	3	21621.3	19
70	24160	4	25089.85	20
71	24160	5	16499.85	17
72	24160	6	14987.9	17
73	24160	7	19912.5	17
74	24160	8	28031.0	18
75	24160	9	21969.05	22
76	24160	10	24609.8	20
77	24160	11	16223.7	21
78	24160	12	8450.35	16
79	24160	13	8172.85	15
80	24160	14	13745.4	17
81	24160	15	18206.95	14
82	24160	16	12899.45	17
83	24160	17	13627.45	15
84	24160	18	11402.9	16
85	24160	19	10587.1	13
86	24161	0	18176.3	40
87	24161	1	33208.35	36
88	24161	2	30737.65	33
89	24161	3	23858.6	27
90	24161	4	12083.5	19
91	24161	5	11447.2	21
92	24161	6	14925.5	20
93	24161	7	17826.5	23
94	24161	8	16341.75	27
95	24161	9	18895.95	27
96	24161	10	16218.85	23
97	24161	11	15707.8	19
98	24161	12	23152.0	22
99	24161	13	21155.25	21
100	24161	14	29106.15	21
101	24161	15	25401.2	23
102	24161	16	15849.3	22
103	24161	17	25424.4	23
104	24161	18	25910.9	18
105	24162	0	5480.9	31
106	24162	1	10042.75	24
107	24162	2	10950.7	22
108	24162	3	6176.0	19
109	24162	4	4317.5	16
110	24162	5	4813.5	15
111	24162	6	5353.5	16
112	24162	7	6872.8	18
113	24162	8	5083.5	18
114	24162	9	6014.1	18
115	24162	10	3888.5	12
116	24162	11	4472.7	19
117	24162	12	4705.0	17
118	24162	13	4887.1	16
119	24162	14	3551.9	15
120	24162	15	5255.7	16
121	24162	16	5460.6	18
122	24162	17	3905.5	17
123	24163	0	5832.1	44
124	24163	1	4267.95	29
125	24163	2	5540.8	17
126	24163	3	5359.4	17
127	24163	4	3748.75	16
128	24163	5	6674.5	15
129	24163	6	6172.0	15
130	24163	7	5384.5	14
131	24163	8	6156.0	16
132	24163	9	2923.6	15
133	24163	10	5458.0	13
134	24163	11	3528.5	15
135	24163	12	6580.0	19
136	24163	13	2385.5	17
137	24163	14	1882.25	15
138	24163	15	1510.0	14
139	24163	16	879.5	11
140	24164	0	20226.4	43
141	24164	1	28533.75	30
142	24164	2	20202.25	25
143	24164	3	26847.0	20
144	24164	4	29187.0	21
145	24164	5	47772.5	19
146	24164	6	37923.7	20
147	24164	7	27342.5	13
148	24164	8	32246.5	13
149	24164	9	44427.0	15
150	24164	10	28595.7	14
151	24164	11	25595.1	14
152	24164	12	25251.0	18
153	24164	13	20744.5	18
154	24164	14	18954.65	16
155	24164	15	11782.5	15
156	24165	0	7020.5	31
157	24165	1	19623.5	21
158	24165	2	21685.0	18
159	24165	3	23451.5	17
160	24165	4	14613.0	16
161	24165	5	17624.0	14
162	24165	6	13849.05	15
163	24165	7	13398.6	17
164	24165	8	10656.0	16
165	24165	9	10242.5	15
166	24165	10	10417.5	14
167	24165	11	8766.0	15
168	24165	12	11909.0	15
169	24165	13	15065.0	16
170	24165	14	4958.5	14
171	24166	0	3485.0	23
172	24166	1	3757.0	12
173	24166	2	4374.0	14
174	24166	3	3240.0	14
175	24166	4	3650.6	14
176	24166	5	3958.8	14
177	24166	6	2238.1	13
178	24166	7	6416.5	11
179	24166	8	5766.5	12
180	24166	9	2278.5	10
181	24166	10	2883.6	12
182	24166	11	1512.6	10
183	24166	12	1329.0	11
184	24166	13	790.0	10
185	24167	0	53026.1	43
186	24167	1	576639.5	36
187	24167	2	196138.15	29
188	24167	3	283838.85	26
189	24167	4	192796.0	19
190	24167	5	139496.5	14
191	24167	6	44586.0	14
192	24167	7	37405.4	12
193	24167	8	18268.9	14
