DATE	MT	MT2	IDC
2013-02-20	93.0	18	2
2013-02-21	482.0	109	11
2013-02-22	1193.0	300	20
2013-02-23	1278.0	333	18
2013-02-24	648.2	140	26
2013-02-25	516.5	144	16
2013-02-26	1010.0	301	22
2013-02-27	323.8	113	15
2013-02-28	514.0	147	15
2013-03-01	732.0	245	19
2013-03-02	1006.0	238	20
2013-03-03	806.5	323	23
2013-03-04	672.0	263	15
2013-03-05	492.0	246	14
2013-03-06	976.0	280	19
2013-03-07	574.5	243	16
2013-03-08	1287.5	254	22
2013-03-09	1076.0	329	29
2013-03-10	1645.5	536	30
2013-03-11	1090.5	298	26
2013-03-12	820.0	214	22
2013-03-13	1898.0	479	35
2013-03-14	1587.0	285	25
2013-03-15	1173.0	272	29
2013-03-16	2248.5	389	25
2013-03-17	973.5	276	31
2013-03-18	2295.0	272	28
2013-03-19	2820.0	354	33
2013-03-20	2280.1	395	32
2013-03-21	992.6	377	32
2013-03-22	932.35	296	28
2013-03-23	1136.0	289	35
2013-03-24	1457.8	385	43
2013-03-25	2950.0	472	30
2013-03-26	991.6	355	31
2013-03-27	1646.6	344	31
2013-03-28	2345.0	383	29
2013-03-29	1331.5	394	30
2013-03-30	1249.0	376	33
2013-03-31	1374.1	321	30
2013-04-01	1192.85	398	27
2013-04-02	2088.35	508	35
2013-04-03	1464.75	356	34
2013-04-04	1988.5	397	38
2013-04-05	1423.25	401	30
2013-04-06	3827.2	448	37
2013-04-07	1555.25	351	30
2013-04-08	1432.1	418	28
2013-04-09	2144.1	637	40
2013-04-10	2090.65	416	37
2013-04-11	2043.95	521	42
2013-04-12	4549.5	546	37
2013-04-13	1253.5	335	38
2013-04-14	1527.65	218	31
2013-04-15	1752.7	269	32
2013-04-16	1589.2	306	36
2013-04-17	3132.0	261	24
2013-04-18	707.0	240	31
2013-04-19	1983.75	321	37
2013-04-20	1105.75	341	34
2013-04-21	898.3	167	30
2013-04-22	1131.0	250	33
2013-04-23	989.5	296	34
2013-04-24	804.6	240	30
2013-04-25	936.5	239	25
2013-04-26	1685.0	330	32
2013-04-27	1273.8	303	33
2013-04-28	2082.75	295	31
2013-04-29	1631.6	297	30
2013-04-30	1639.0	369	33
2013-05-01	970.3	309	32
2013-05-02	1159.25	308	35
2013-05-03	2653.3	525	31
2013-05-04	1743.45	472	41
2013-05-05	1156.7	365	34
2013-05-06	1851.2	372	29
2013-05-07	1723.0	359	35
2013-05-08	1373.0	315	27
2013-05-09	3727.0	423	34
2013-05-10	3016.75	564	44
2013-05-11	2922.3	570	44
2013-05-12	2065.8	505	37
2013-05-13	1312.6	453	44
2013-05-14	2886.5	657	45
2013-05-15	2395.0	579	44
2013-05-16	3327.75	505	46
2013-05-17	4652.2	579	48
2013-05-18	2752.1	656	47
2013-05-19	2185.5	475	42
2013-05-20	5797.5	613	51
2013-05-21	3409.0	603	53
2013-05-22	3521.0	471	45
2013-05-23	4063.6	624	50
2013-05-24	4021.0	577	53
2013-05-25	2473.8	655	51
2013-05-26	2543.25	697	51
2013-05-27	2396.1	368	31
2013-05-28	3823.0	756	54
2013-05-29	3048.6	707	61
2013-05-30	5057.7	930	63
2013-05-31	4565.7	944	68
2013-06-01	3102.0	684	55
2013-06-02	3256.4	706	61
2013-06-03	1864.2	630	48
2013-06-04	2421.9	654	54
2013-06-05	2779.0	767	55
2013-06-06	3244.25	802	56
2013-06-07	3188.35	751	53
2013-06-08	3382.05	746	57
2013-06-09	2520.75	517	43
2013-06-10	1874.35	546	50
2013-06-11	3832.3	767	53
2013-06-12	4171.15	790	65
2013-06-13	2450.65	582	46
2013-06-14	5188.4	636	63
2013-06-15	4644.3	705	59
2013-06-16	2518.65	573	51
2013-06-17	3314.3	575	46
2013-06-18	5716.6	655	49
2013-06-19	2726.6	589	47
2013-06-20	4535.9	678	46
2013-06-21	6453.8	820	60
2013-06-22	3967.6	616	51
2013-06-23	9241.6	699	48
2013-06-24	1984.8	464	45
2013-06-25	9855.8	864	54
2013-06-26	2603.8	595	45
2013-06-27	3879.5	781	55
2013-06-28	6123.1	805	58
2013-06-29	4252.5	764	53
2013-06-30	2930.25	538	48
2013-07-01	1441.7	439	48
2013-07-02	4502.5	730	54
2013-07-03	3535.8	627	53
2013-07-04	2496.1	493	52
2013-07-05	4601.9	786	54
2013-07-06	6042.8	599	52
2013-07-07	1963.8	491	50
2013-07-08	1272.0	278	38
2013-07-09	4257.8	715	49
