	ID	IDC	MT_TOT	PMG	RECENCE
0	0	77	121.5	4. P	10
1	1	79	3020.7	3. M	10
2	2	83	7.6	4. P	13
3	3	89	191.5	4. P	10
4	4	90	224.0	4. P	10
5	5	93	2920.0	3. M	10
6	6	95	229.5	4. P	10
7	7	96	96.5	4. P	10
8	8	102	22890.5	2. G	10
9	9	103	2957.5	3. M	2
10	10	104	1513.0	4. P	10
11	11	105	2347.5	3. M	10
12	12	106	4.0	4. P	11
13	13	133	2460.5	3. M	10
14	14	147	4211.0	3. M	10
15	15	151	2325.5	3. M	10
16	16	152	658.0	4. P	10
17	17	153	4.0	4. P	19
18	18	168	7721.0	3. M	10
19	19	169	157.5	4. P	13
20	20	172	3442.0	3. M	9
21	21	175	8282.5	3. M	10
22	22	181	13039.5	2. G	10
23	23	188	2384.5	3. M	9
24	24	194	1203.0	4. P	10
25	25	202	28.5	4. P	14
26	26	211	98.5	4. P	14
27	27	221	3.0	4. P	21
28	28	227	11198.0	3. M	10
29	29	247	396.5	4. P	9
30	30	249	9.5	4. P	11
31	31	250	835.0	4. P	10
32	32	269	16039.8	2. G	9
33	33	271	208.5	4. P	10
34	34	273	821.0	4. P	16
35	35	275	374.2	4. P	10
36	36	279	883.0	4. P	4
37	37	302	1422.5	4. P	10
38	38	304	396.5	4. P	10
39	39	306	26.0	4. P	16
40	40	310	89.2	4. P	20
41	41	320	203.0	4. P	11
42	42	341	10.0	4. P	16
43	43	350	128.5	4. P	18
44	44	354	1275.5	4. P	10
45	45	374	336.85	4. P	10
46	46	378	1198.0	4. P	13
47	47	379	50.0	4. P	14
48	48	385	91.5	4. P	10
49	49	398	4.5	4. P	21
50	50	406	206.5	4. P	19
51	51	414	56.5	4. P	17
52	52	425	41.0	4. P	15
53	53	430	2524.0	3. M	10
54	54	469	52.0	4. P	10
55	55	471	225.0	4. P	10
56	56	491	1610.0	3. M	9
57	57	507	105.0	4. P	9
58	58	508	213.0	4. P	10
59	59	522	35.5	4. P	13
60	60	529	478.0	4. P	10
61	61	533	2.5	4. P	13
62	62	534	330.0	4. P	16
63	63	566	791.5	4. P	10
64	64	581	238.0	4. P	10
65	65	583	85718.0	1. TG	10
66	66	592	29.5	4. P	15
67	67	638	128.5	4. P	15
68	68	642	110.5	4. P	10
69	69	675	8871.75	3. M	9
70	70	686	711.5	4. P	9
71	71	687	117.0	4. P	10
72	72	709	1497.0	4. P	9
73	73	715	21.0	4. P	10
74	74	716	11507.35	2. G	9
75	75	731	185.5	4. P	19
76	76	736	5707.4	3. M	10
77	77	742	8.5	4. P	11
78	78	753	6734.3	3. M	7
79	79	755	818.5	4. P	11
80	80	776	8.0	4. P	10
81	81	781	9019.1	3. M	9
82	82	787	62.0	4. P	10
83	83	792	6342.5	3. M	10
84	84	793	15295.6	2. G	10
85	85	795	185.0	4. P	10
86	86	799	13.0	4. P	16
87	87	802	1528.5	4. P	18
88	88	808	2.0	4. P	10
89	89	810	130.0	4. P	10
90	90	813	1089.0	4. P	10
91	91	821	28421.0	2. G	9
92	92	826	1681.5	3. M	10
93	93	828	447.5	4. P	9
94	94	833	28167.0	2. G	9
95	95	839	4.5	4. P	20
96	96	840	14280.0	2. G	10
97	97	843	1.5	4. P	21
98	98	849	12.0	4. P	20
99	99	858	863.5	4. P	10
100	100	872	2948.5	3. M	10
101	101	876	1.5	4. P	21
102	102	908	1834.5	3. M	10
103	103	912	146.0	4. P	10
104	104	913	3155.75	3. M	9
105	105	915	879.0	4. P	14
106	106	917	589.0	4. P	9
107	107	923	48.5	4. P	21
108	108	925	668.5	4. P	10
109	109	926	2187.6	3. M	4
110	110	927	592.0	4. P	15
111	111	930	1.0	4. P	14
112	112	939	119.0	4. P	13
113	113	946	2143.5	3. M	9
114	114	951	1314.2	4. P	10
115	115	958	1029.2	4. P	9
116	116	961	2982.0	3. M	9
117	117	963	179.0	4. P	17
118	118	967	52.5	4. P	19
119	119	970	56.0	4. P	10
120	120	973	1.5	4. P	21
121	121	974	300.5	4. P	20
122	122	975	15.0	4. P	21
123	123	979	4.5	4. P	2
124	124	981	1437.0	4. P	2
125	125	985	188.5	4. P	17
126	126	987	3859.5	3. M	11
127	127	988	15.0	4. P	10
128	128	991	32.0	4. P	19
129	129	995	44009.3	1. TG	10
130	130	996	3701.25	3. M	17
131	131	997	100.0	4. P	20
132	132	998	8885.4	3. M	9
133	133	999	15.5	4. P	13
134	134	1002	2970.5	3. M	13
135	135	1003	22.5	4. P	20
136	136	1004	78.5	4. P	20
137	137	1006	261.5	4. P	10
138	138	1007	705.0	4. P	12
139	139	1008	5356.0	3. M	9
140	140	1010	213.0	4. P	10
141	141	1011	12068.5	2. G	9
142	142	1013	2069.0	3. M	9
143	143	1018	4245.7	3. M	10
144	144	1019	18.5	4. P	13
145	145	1020	12641.0	2. G	2
146	146	1021	14.0	4. P	19
147	147	1024	1909.0	3. M	17
148	148	1026	1550.5	3. M	9
149	149	1027	14356.0	2. G	10
150	150	1028	1000.0	4. P	20
151	151	1029	6723.25	3. M	10
152	152	1035	3308.0	3. M	10
153	153	1036	678.5	4. P	4
154	154	1037	2579.7	3. M	10
155	155	1038	694.7	4. P	20
156	156	1042	246.5	4. P	15
157	157	1043	1528.0	4. P	9
158	158	1046	132.0	4. P	11
159	159	1049	619.0	4. P	16
160	160	1052	11.0	4. P	10
161	161	1053	11.0	4. P	9
162	162	1054	117.5	4. P	15
163	163	1055	2389.0	3. M	9
164	164	1056	72.5	4. P	17
165	165	1059	229.0	4. P	10
166	166	1061	1915.5	3. M	11
167	167	1062	2744.5	3. M	10
168	168	1064	129837.5	1. TG	10
169	169	1065	231.5	4. P	11
170	170	1066	746.0	4. P	15
171	171	1067	8396.6	3. M	1
172	172	1068	206.6	4. P	11
173	173	1069	2415.0	3. M	14
174	174	1072	3074.5	3. M	10
175	175	1075	85.0	4. P	10
176	176	1076	2069.0	3. M	10
177	177	1077	21.0	4. P	19
178	178	1078	39.5	4. P	19
179	179	1080	4986.0	3. M	9
180	180	1081	318.0	4. P	10
181	181	1085	8200.35	3. M	10
182	182	1086	156.5	4. P	14
183	183	1087	2002.6	3. M	10
184	184	1088	26995.8	2. G	11
185	185	1090	283.5	4. P	10
186	186	1091	1231.0	4. P	9
187	187	1094	15.0	4. P	20
188	188	1096	108.0	4. P	19
189	189	1097	471.0	4. P	10
190	190	1098	25095.8	2. G	10
191	191	1099	2285.5	3. M	10
192	192	1101	69.0	4. P	19
193	193	1102	2810.5	3. M	10
194	194	1103	144.0	4. P	10
195	195	1104	11674.25	2. G	10
196	196	1105	5591.3	3. M	9
197	197	1106	241.5	4. P	11
198	198	1107	128.5	4. P	10
199	199	1108	1099.0	4. P	18
200	200	1110	43.0	4. P	4
201	201	1113	13130.0	2. G	6
202	202	1115	99589.5	1. TG	4
203	203	1116	1991.5	3. M	4
204	204	1118	105.0	4. P	13
205	205	1119	609.0	4. P	18
206	206	1120	5844.5	3. M	10
207	207	1124	12145.0	2. G	9
208	208	1125	12633.0	2. G	9
209	209	1126	15.0	4. P	19
210	210	1129	80.0	4. P	10
211	211	1132	10.0	4. P	11
212	212	1133	171.0	4. P	9
213	213	1137	299.0	4. P	10
214	214	1140	36.5	4. P	13
215	215	1142	1823.5	3. M	10
216	216	1143	311.5	4. P	16
217	217	1144	3579.0	3. M	9
