	KEY_x	KEY2_1_x	KEY2_x	MT_x	MT2_x	IDC_x	KEYN1_x	KEY_y	KEY2_1_y	KEY2_y	MT_y	MT2_y	IDC_y	KEYN1_y	DIF_IDC	DIF_MT	DIF_MT2	PCT_IDC	PCT_MT	PCT_MT2
0	2013-01-01	24145	24157	9422.4	2690	52	2012-01-01													
1	2013-02-01	24146	24158	11087.3	3128	71	2012-02-01													
2	2013-03-01	24147	24159	49261.45	12029	132	2012-03-01													
3	2013-04-01	24148	24160	56767.95	12111	128	2012-04-01													
4	2013-05-01	24149	24161	93684.55	18415	140	2012-05-01													
5	2013-06-01	24150	24162	127518.25	23813	175	2012-06-01													
6	2013-07-01	24151	24163	136341.2	21887	196	2012-07-01													
7	2013-08-01	24152	24164	144208.25	26839	217	2012-08-01													
8	2013-09-01	24153	24165	124874.45	24554	203	2012-09-01													
9	2013-10-01	24154	24166	123054.1	26172	224	2012-10-01													
10	2013-11-01	24155	24167	195301.45	36660	236	2012-11-01													
11	2013-12-01	24156	24168	297768.65	46847	343	2012-12-01													
12	2014-01-01	24157	24169	390392.65	63467	509	2013-01-01	2013-01-01	24145.0	24157.0	9422.4	2690.0	52.0	2012-01-01	457.0	380970.25	60777.0	8.78846153846	40.43240045	22.5936802974
13	2014-02-01	24158	24170	6346.95	1306	165	2013-02-01	2013-02-01	24146.0	24158.0	11087.3	3128.0	71.0	2012-02-01	94.0	-4740.35	-1822.0	1.32394366197	-0.427547734796	-0.582480818414
14	2014-04-01	24160	24172	1.5	3	3	2013-04-01	2013-04-01	24148.0	24160.0	56767.95	12111.0	128.0	2012-04-01	-125.0	-56766.45	-12108.0	-0.9765625	-0.99997357664	-0.999752291305
15	2014-05-01	24161	24173	88.0	26	6	2013-05-01	2013-05-01	24149.0	24161.0	93684.55	18415.0	140.0	2012-05-01	-134.0	-93596.55	-18389.0	-0.957142857143	-0.999060677561	-0.998588107521
16	2014-07-01	24163	24175	2933.5	303	58	2013-07-01	2013-07-01	24151.0	24163.0	136341.2	21887.0	196.0	2012-07-01	-138.0	-133407.7	-21584.0	-0.704081632653	-0.978484126588	-0.98615616576
17	2014-08-01	24164	24176	4.0	2	2	2013-08-01	2013-08-01	24152.0	24164.0	144208.25	26839.0	217.0	2012-08-01	-215.0	-144204.25	-26837.0	-0.990783410138	-0.999972262336	-0.999925481575
18	2014-09-01	24165	24177	588.5	76	27	2013-09-01	2013-09-01	24153.0	24165.0	124874.45	24554.0	203.0	2012-09-01	-176.0	-124285.95	-24478.0	-0.866995073892	-0.995287266531	-0.996904781298
19	2014-10-01	24166	24178	1.0	1	1	2013-10-01	2013-10-01	24154.0	24166.0	123054.1	26172.0	224.0	2012-10-01	-223.0	-123053.1	-26171.0	-0.995535714286	-0.999991873493	-0.999961791227
