,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,Couple,Jackpot,Multi,Quarte,Quinte,Simple,Trio,PMG,PMG2,REC,RECENCE,MT90,MT30
0,0,77,125.0,133,2014-01-01,2013-02-01,24169,24158,,30.0,6.5,,15.0,,,,,16.5,11.0,22.0,24.0,,,,,,,,61.0,,16.5,1.0,46.5,,,4. P,4,2,10,51.5,36.5
1,1,79,3086.2,347,2014-01-01,2013-01-01,24169,24157,37.5,643.5,937.8,132.7,,,,,,5.5,10.0,1124.0,195.2,,,,,,,,90.0,440.5,1681.7,627.5,73.5,62.0,111.0,3. M,3,2,10,1618.8,37.5
2,2,83,7.6,6,2013-10-01,2013-04-01,24166,24160,,,,2.5,,,1.0,,,4.1,,,,,,,,,,,1.0,,4.1,0.5,2.0,,,4. P,4,1,13,2.5,2.5
3,3,89,198.0,223,2014-01-01,2013-03-01,24169,24159,,,2.0,2.5,1.5,2.0,2.0,,,24.5,45.0,51.5,67.0,,,,,,,,89.0,1.0,13.5,3.0,8.5,61.0,22.0,4. P,4,2,10,8.0,4.5
4,4,90,401.0,191,2014-01-01,2013-01-01,24169,24157,39.5,9.5,1.0,21.5,51.5,23.0,,7.0,46.5,33.5,69.5,58.5,40.0,,,,,,,,124.0,47.0,130.0,,35.0,65.0,,4. P,4,2,10,50.0,44.5
5,5,93,3063.5,635,2014-01-01,2013-05-01,24169,24161,,,,,96.0,183.5,87.0,134.0,582.5,346.5,163.0,711.0,760.0,,,,,,,,1057.0,101.0,404.0,29.0,345.0,1086.0,41.5,3. M,3,2,10,433.5,147.0
6,6,95,1557.0,270,2014-01-01,2013-01-01,24169,24157,403.5,261.0,229.5,24.5,6.0,108.5,272.0,,,,40.5,,211.5,,,,,,,,42.0,42.0,1291.5,1.0,68.0,42.0,70.5,4. P,4,2,10,894.0,403.5
7,7,96,511.5,103,2014-01-01,2013-01-01,24169,24157,73.5,87.5,73.0,15.5,30.0,17.5,49.5,31.5,,40.0,63.5,11.5,18.5,,,,,,,,26.5,37.0,405.0,1.5,5.5,33.5,2.5,4. P,4,2,10,234.0,73.5
8,8,102,23878.0,820,2014-01-01,2013-02-01,24169,24158,,49.5,940.5,1090.0,784.0,1647.0,10235.5,5365.5,267.5,400.0,,282.0,2816.5,,,,,,,,7140.5,463.0,669.5,887.0,470.0,14212.0,36.0,2. G,2,2,10,2655.0,210.0
9,9,103,3949.5,1872,2014-09-01,2013-01-01,24177,24157,210.0,197.0,1026.0,44.0,141.0,136.0,81.5,54.0,130.0,304.5,431.5,809.0,381.5,,,,,,3.5,,765.0,272.0,777.0,123.0,561.5,1436.5,14.5,3. M,3,3,2,1433.0,210.0
