	KEYMIN2	DIF	MT	IDC	MT_TOT	IDC_TOT	IDC_PCT	annee	mois	Valeur	Valeur_tot	Date	Date2
0	24157	0	9422.4	52	405383.6	52	1.0	2013	1	181.2	181.2	2013 - 1	24157
1	24157	1	9818.8	39	405383.6	52	0.75	2013	2	251.764102564	188.823076923	2013 - 1	24158
2	24157	2	16880.55	35	405383.6	52	0.673076923077	2013	3	482.301428571	324.625961538	2013 - 1	24159
3	24157	3	10708.85	29	405383.6	52	0.557692307692	2013	4	369.270689655	205.939423077	2013 - 1	24160
4	24157	4	14904.05	30	405383.6	52	0.576923076923	2013	5	496.801666667	286.616346154	2013 - 1	24161
5	24157	5	19246.45	32	405383.6	52	0.615384615385	2013	6	601.4515625	370.124038462	2013 - 1	24162
6	24157	6	12915.55	31	405383.6	52	0.596153846154	2013	7	416.630645161	248.375961538	2013 - 1	24163
7	24157	7	17629.55	30	405383.6	52	0.576923076923	2013	8	587.651666667	339.029807692	2013 - 1	24164
8	24157	8	13727.9	28	405383.6	52	0.538461538462	2013	9	490.282142857	263.998076923	2013 - 1	24165
9	24157	9	16135.75	31	405383.6	52	0.596153846154	2013	10	520.508064516	310.302884615	2013 - 1	24166
10	24157	10	20290.05	31	405383.6	52	0.596153846154	2013	11	654.517741935	390.193269231	2013 - 1	24167
11	24157	11	20130.7	31	405383.6	52	0.596153846154	2014	0	649.377419355	387.128846154	2013 - 1	24168
12	24157	12	17923.85	33	405383.6	52	0.634615384615	2014	1	543.146969697	344.689423077	2013 - 1	24169
13	24157	13	27461.65	31	405383.6	52	0.596153846154	2014	2	885.859677419	528.108653846	2013 - 1	24170
14	24157	14	22614.7	29	405383.6	52	0.557692307692	2014	3	779.817241379	434.898076923	2013 - 1	24171
15	24157	15	17941.65	28	405383.6	52	0.538461538462	2014	4	640.773214286	345.031730769	2013 - 1	24172
16	24157	16	17092.8	29	405383.6	52	0.557692307692	2014	5	589.406896552	328.707692308	2013 - 1	24173
17	24157	17	16035.25	27	405383.6	52	0.519230769231	2014	6	593.898148148	308.370192308	2013 - 1	24174
18	24157	18	18184.65	27	405383.6	52	0.519230769231	2014	7	673.505555556	349.704807692	2013 - 1	24175
19	24157	19	16477.1	27	405383.6	52	0.519230769231	2014	8	610.262962963	316.867307692	2013 - 1	24176
20	24157	20	16896.75	27	405383.6	52	0.519230769231	2014	9	625.805555556	324.9375	2013 - 1	24177
21	24157	21	39509.25	26	405383.6	52	0.5	2014	10	1519.58653846	759.793269231	2013 - 1	24178
22	24157	22	13435.35	24	405383.6	52	0.461538461538	2014	11	559.80625	258.372115385	2013 - 1	24179
23	24158	0	1268.5	32	70837.65	32	1.0	2013	2	39.640625	39.640625	2013 - 2	24158
24	24158	1	2633.0	22	70837.65	32	0.6875	2013	3	119.681818182	82.28125	2013 - 2	24159
25	24158	2	1895.0	16	70837.65	32	0.5	2013	4	118.4375	59.21875	2013 - 2	24160
26	24158	3	1438.0	10	70837.65	32	0.3125	2013	5	143.8	44.9375	2013 - 2	24161
27	24158	4	2448.5	12	70837.65	32	0.375	2013	6	204.041666667	76.515625	2013 - 2	24162
28	24158	5	10809.2	10	70837.65	32	0.3125	2013	7	1080.92	337.7875	2013 - 2	24163
29	24158	6	6369.0	11	70837.65	32	0.34375	2013	8	579.0	199.03125	2013 - 2	24164
30	24158	7	1447.5	10	70837.65	32	0.3125	2013	9	144.75	45.234375	2013 - 2	24165
31	24158	8	1651.0	14	70837.65	32	0.4375	2013	10	117.928571429	51.59375	2013 - 2	24166
32	24158	9	1748.5	12	70837.65	32	0.375	2013	11	145.708333333	54.640625	2013 - 2	24167
33	24158	10	3923.5	16	70837.65	32	0.5	2014	0	245.21875	122.609375	2013 - 2	24168
34	24158	11	6088.0	14	70837.65	32	0.4375	2014	1	434.857142857	190.25	2013 - 2	24169
35	24158	12	2059.5	13	70837.65	32	0.40625	2014	2	158.423076923	64.359375	2013 - 2	24170
36	24158	13	2992.5	13	70837.65	32	0.40625	2014	3	230.192307692	93.515625	2013 - 2	24171
37	24158	14	1493.5	11	70837.65	32	0.34375	2014	4	135.772727273	46.671875	2013 - 2	24172
38	24158	15	1802.0	12	70837.65	32	0.375	2014	5	150.166666667	56.3125	2013 - 2	24173
39	24158	16	1259.75	11	70837.65	32	0.34375	2014	6	114.522727273	39.3671875	2013 - 2	24174
40	24158	17	1467.9	11	70837.65	32	0.34375	2014	7	133.445454545	45.871875	2013 - 2	24175
41	24158	18	4132.8	10	70837.65	32	0.3125	2014	8	413.28	129.15	2013 - 2	24176
42	24158	19	5676.5	10	70837.65	32	0.3125	2014	9	567.65	177.390625	2013 - 2	24177
43	24158	20	6373.0	12	70837.65	32	0.375	2014	10	531.083333333	199.15625	2013 - 2	24178
44	24158	21	1860.5	10	70837.65	32	0.3125	2014	11	186.05	58.140625	2013 - 2	24179
45	24159	0	29747.9	75	713967.75	75	1.0	2013	3	396.638666667	396.638666667	2013 - 3	24159
46	24159	1	32746.15	49	713967.75	75	0.653333333333	2013	4	668.28877551	436.615333333	2013 - 3	24160
