RECENCE	MT	NB	no_cumulative	no_cumulative2
0	5258877.3	535	535	1985
1	216541.6	149	684	1985
2	244555.4	88	772	1985
3	127349.15	77	849	1985
4	122283.35	148	997	1985
5	206311.0	174	1171	1985
6	41809.6	96	1267	1985
7	488880.4	139	1406	1985
8	93065.8	149	1555	1985
9	222460.55	176	1731	1985
10	22786.85	91	1822	1985
11	7113.6	32	1854	1985
12	3666.0	12	1866	1985
13	14329.35	19	1885	1985
14	6798.9	18	1903	1985
15	30069.45	20	1923	1985
16	3321.7	14	1937	1985
17	6419.25	7	1944	1985
18	2433.0	3	1947	1985
19	584.5	7	1954	1985
20	2083.9	14	1968	1985
21	270.5	8	1976	1985
22	319.7	9	1985	1985
