WEEK	MT	MT2	IDC
2013-S1	53642.4	3883	173
2013-S10	6723.5	2151	55
2013-S11	9790.5	2213	69
2013-S12	11913.85	2368	73
2013-S13	11887.8	2645	67
2013-S14	13540.15	2859	74
2013-S15	15041.45	3091	72
2013-S16	11168.7	1905	67
2013-S17	8903.15	1953	61
2013-S18	10953.6	2645	71
2013-S19	16679.05	3108	70
2013-S20	19511.65	3904	83
2013-S21	25829.15	4240	97
2013-S22	25249.5	5095	104
2013-S23	19400.5	4867	96
2013-S24	24679.8	4599	110
2013-S25	35956.4	4632	91
2013-S26	31629.75	4811	100
2013-S27	24584.6	4165	100
2013-S28	34489.7	3809	103
2013-S29	17376.05	3210	99
2013-S30	40286.6	4847	113
2013-S31	32729.4	5903	113
2013-S32	37799.25	5696	122
2013-S33	28718.8	4867	121
2013-S34	23623.4	4902	132
2013-S35	24961.55	4686	132
2013-S36	25919.05	4396	126
2013-S37	30107.7	4638	127
2013-S38	24603.8	5108	131
2013-S39	31560.65	5491	129
2013-S40	26147.45	5930	132
2013-S41	26296.9	5252	139
2013-S42	22650.7	4704	133
2013-S43	23715.15	4225	133
2013-S44	35412.45	6804	153
2013-S45	31657.25	7109	157
2013-S46	43625.95	7963	165
2013-S47	43695.95	7440	163
2013-S48	64369.0	8317	173
2013-S49	104879.0	9001	187
2013-S50	280557.0	9816	203
2013-S51	250626.3	9165	206
2013-S52	94934.15	12672	257
2013-S8	3694.2	900	39
2013-S9	4908.8	1511	38
2014-S1	59727.5	8988	211
2014-S10	191419.1	19006	401
2014-S11	132248.25	16824	376
2014-S12	110094.5	17924	358
2014-S13	98510.35	17562	358
2014-S14	70921.35	18731	333
2014-S15	109356.85	17464	334
2014-S16	116791.5	18492	329
2014-S17	116990.9	15083	354
2014-S18	88961.65	16882	337
2014-S19	85236.75	16696	315
2014-S2	110513.35	13115	269
2014-S20	85624.95	17066	309
2014-S21	66096.2	19271	303
2014-S22	124332.3	19468	355
2014-S23	92297.7	19498	361
2014-S24	82599.5	19735	385
2014-S25	83872.55	16287	336
2014-S26	95074.05	18999	372
2014-S27	89913.7	19469	353
2014-S28	102451.05	20808	387
2014-S29	78472.1	15900	343
2014-S3	92563.2	13649	291
2014-S30	85911.35	20098	364
2014-S31	89757.15	21697	373
2014-S32	70667.55	20835	378
2014-S33	88144.7	19797	377
2014-S34	73121.6	17922	364
2014-S35	111512.4	19964	384
2014-S36	78333.2	18324	378
2014-S37	103288.05	19936	364
2014-S38	69910.4	18926	341
2014-S39	146221.2	18746	370
2014-S4	184112.05	14584	318
2014-S40	110897.15	20480	397
2014-S41	110601.05	18505	379
2014-S42	168056.45	20155	384
2014-S43	78888.2	19896	400
2014-S44	113285.55	19863	384
2014-S45	165780.15	24011	427
2014-S46	220259.25	24171	433
2014-S47	97055.45	12032	324
2014-S5	71904.2	18536	358
2014-S6	125623.9	20968	439
2014-S7	179251.9	20672	431
2014-S8	238983.1	21624	410
2014-S9	94686.6	19253	419
