ID	DIF	IDC_TOT	IDC	MT	IDP
0	0	1947	1947	644461.55	GLOBAL
1	1	1904	961	1219589.2	GLOBAL
2	2	1834	668	640010.45	GLOBAL
3	3	1790	574	676477.4	GLOBAL
4	4	1713	482	518820.55	GLOBAL
5	5	1570	439	454227.95	GLOBAL
6	6	1376	400	314661.1	GLOBAL
7	7	1269	378	308897.35	GLOBAL
8	8	1147	380	256883.75	GLOBAL
9	9	1006	336	318998.25	GLOBAL
10	10	714	291	283228.95	GLOBAL
11	11	510	236	312796.65	GLOBAL
12	12	403	196	315915.05	GLOBAL
13	13	362	181	118413.3	GLOBAL
14	14	340	156	116232.75	GLOBAL
15	15	305	141	95386.55	GLOBAL
16	16	258	116	69126.35	GLOBAL
17	17	221	115	74604.6	GLOBAL
18	18	196	84	63873.1	GLOBAL
19	19	156	68	88579.9	GLOBAL
20	20	128	53	51311.55	GLOBAL
21	21	46	21	4257.35	GLOBAL
