	PMG2	REC	MT_TOT	IDC	MT_TOT_TOT	IDC_TOT	PCT_MT	PCT_IDC
0	1	2	558313.0	2	6946753.65	1947	8.03703468022	0.10272213662
1	1	3	72582.55	1	6946753.65	1947	1.04484128353	0.0513610683102
2	1	4	2812104.5	17	6946753.65	1947	40.4808438831	0.873138161274
3	2	1	24163.0	1	6946753.65	1947	0.347831537109	0.0513610683102
4	2	2	128275.5	5	6946753.65	1947	1.8465531738	0.256805341551
5	2	3	341690.95	13	6946753.65	1947	4.91871408165	0.667693888033
6	2	4	1312231.7	59	6946753.65	1947	18.8898551196	3.0303030303
7	3	1	19908.5	6	6946753.65	1947	0.286587102452	0.308166409861
8	3	2	115606.6	33	6946753.65	1947	1.664181657	1.69491525424
9	3	3	175362.25	35	6946753.65	1947	2.52437698003	1.79763739086
10	3	4	1026425.0	218	6946753.65	1947	14.7756067325	11.1967128916
11	4	1	19888.25	97	6946753.65	1947	0.286295599384	4.98202362609
12	4	2	85699.3	644	6946753.65	1947	1.23365969657	33.0765279918
13	4	3	78705.4	431	6946753.65	1947	1.13298101481	22.1366204417
14	4	4	175797.15	385	6946753.65	1947	2.53063745826	19.7740112994
