,0
0,Marseille
1,Dijon
2,Nantes
3,Paris
4,Lille
5,Rennes
6,Lyon
7,Metz
8,Monaco
9,Strasbourg
10,Nice
11,Amiens
12,Troyes
13,Guingamp
14,Toulouse
15,Saint-Etienne
16,Angers
17,Caen
18,Bordeaux
19,Montpellier
20,Newcastle
21,Swansea City
22,Stoke City
23,Manchester City
24,Bournemouth
25,Arsenal
26,Leicester City
27,Tottenham
28,West Ham
29,Liverpool
30,Southampton
31,Chelsea
32,Watford
33,Everton
34,Burnley
35,Huddersfield Town
36,Manchester United
37,West Bromwich
38,Crystal Palace
39,Brighton & Hove Albion
40,Seville
41,Valence
42,Real Betis Seville
43,Barcelone
44,Celta Vigo
45,Leganes
46,La Corogne
47,Getafe
48,Real Madrid
49,Villarreal
50,Malaga
51,Las Palmas
52,Real Sociedad
53,Atletico Madrid
54,Espanyol Barcelone
55,Deportivo Alaves
56,Eibar
57,Athletic Bilbao
58,UD Levante
59,Hannovre
60,Bayern Munich
61,Schalke 04
62,Stuttgart
63,RB Leipzig
64,Bayer Leverkusen
65,Borussia Dortmund
66,Hoffenheim
67,Cologne
68,Eintracht Francfort
69,Wolfsburg
70,Mayence
71,Werder Breme
72,Hertha Berlin
73,Hambourg
74,Monchengladbach
75,FC Augsburg
76,Fribourg
77,Milan AC
78,Torino FC
79,Juventus Turin
80,Udinese
81,Benevent
82,Fiorentina
83,Chievo Verone
84,Genoa
85,SPAL
86,Sampdoria
87,Hellas Verona
88,Inter Milan
89,Atalanta Bergame
90,Lazio Rome
91,Bologne
92,AS Rome
93,Naples
94,Sassuolo
95,Cagliari
