t_id;League ;Country_league;name;country;Country_big;age;entraineur;height;weight;club;name_unicode
1805;Bundesliga;Germany; Daniel Brosinski ;DEU;Germany;29;0;0;0;Mayence;Brosinski  Daniel
1825;Bundesliga;Germany;?ahverdi \xc3\x87etin ;TUR;Turkey;17;0;0;0;Eintracht Francfort;\xc7etin ?ahverdi
2781;Serie A;Italy;Stefan Daniel Radu ;ROU;Romania;31;0;183;79;Lazio Rome;Radu Stefan Daniel
2871;Serie A;Italy;Lubomir Tupta ;SVK;Slovakia;20;0;0;0;Hellas Verona;Tupta Lubomir
761;Premier League;England;Lukasz Fabianski ;POL;Poland;32;0;191;85;Swansea City;Fabianski Lukasz
2142;Bundesliga;Germany;Lukasz Piszczek ;POL;Poland;32;0;184;73;Borussia Dortmund;Piszczek Lukasz
1387;Liga;Spain;Alvaro Gonzalez Soberon ;ESP;Spain;28;0;180;68;Villarreal;Gonzalez Soberon Alvaro
1456;Liga;Spain;\xc3\x8dnigo Lekue Martinez ;ESP;Spain;24;0;179;70;Athletic Bilbao;Lekue Mart\xednez \xcdnigo
1492;Liga;Spain;\xc3\x8dnigo Martinez Berridi ;ESP;Spain;26;0;181;0;Real Sociedad;Mart\xednez Berridi \xcdnigo
2256;Bundesliga;Germany;\xc3\x96mer Toprak ;DEU;Germany;28;0;186;81;Borussia Dortmund;Toprak \xd6mer
900;Premier League;England;Aaron  Lennon ;ENG;England;30;0;165;63;Everton;Lennon Aaron 
700;Premier League;England;Aaron Anthony Connolly ;IRL;Ireland;18;0;0;0;Brighton & Hove Albion;Connolly Aaron Anthony
710;Premier League;England;Aaron Cresswell ;ENG;England;28;0;170;66;West Ham;Cresswell Aaron
1966;Bundesliga;Germany;Aaron Hunt ;DEU;Germany;31;0;183;70;Hambourg;Hunt Aaron
1488;Liga;Spain;Aaron Martin Caricol ;ESP;Spain;20;0;0;0;Espanyol Barcelone;Mart\xedn Caricol Aaron
970;Premier League;England;Aaron Mooy ;AUS;Australia;27;0;0;0;Huddersfield Town;Mooy Aaron
1038;Premier League;England;Aaron Ramsdale ;ENG;England;19;0;0;0;Bournemouth;Ramsdale Aaron
1039;Premier League;England;Aaron Ramsey ;WAL;Wales;27;0;178;76;Arsenal;Ramsey Aaron
388;Ligue 1;France;Abdallah N\'Dour ;SEN;Senegal;24;0;186;70;Strasbourg;N'Dour Abdallah
1064;Premier League;England;Abdelhamid Sabiri ;MAR;Morocco;21;0;183;80;Huddersfield Town;Sabiri Abdelhamid
1850;Bundesliga;Germany;Abdou Diallo ;FRA;France;21;0;187;72;Mayence;Diallo Abdou
340;Ligue 1;France;Abdou Kader Mangane ;SEN;Senegal;35;0;193;90;Strasbourg;Mangane Abdou Kader
1722;Liga;Spain;Abdoul Karim Yoda ;FRA;France;29;0;182;73;Getafe;Yoda Abdoul Karim
88;Ligue 1;France;Abdoul Razzagui Camara ;GUI;Guinea;28;0;178;71;Guingamp;Camara Abdoul Razzagui
39;Ligue 1;France;Abdoulaye Bamba ;CIV;Ivory Coast;27;0;182;68;Angers;Bamba Abdoulaye
143;Ligue 1;France;Abdoulaye Diallo ;FRA;France;26;0;189;79;Rennes;Diallo Abdoulaye
746;Premier League;England;Abdoulaye Doucoure ;FRA;France;25;0;182;69;Watford;Doucour\xe9 Abdoulaye
550;Ligue 1;France;Abdoulaye Toure ;FRA;France;24;0;0;0;Nantes;Tour\xe9 Abdoulaye
8;Ligue 1;France;Abdul Khaled Akiola Adenon ;CIV;Ivory Coast;32;0;181;70;Amiens;Akiola Ad\xe9non Abdul Khaled
620;Premier League;England;Abdul Rahman Baba ;GHA;Ghana;23;0;179;70;Chelsea;Baba Abdul Rahman
250;Ligue 1;France;Ablie Jallow ;GAM;Gambia;19;0;0;0;Metz;Jallow Ablie
2697;Serie A;Italy;Abukar Mohamed ;SOM;Somalia;19;0;0;0;Lazio Rome;Mohamed Abukar
1407;Liga;Spain;Achraf Hakimi ;ESP;Spain;19;0;172;55;Real Madrid;Hakimi Achraf
2629;Serie A;Italy;Achraf Lazaar ;MAR;Morocco;26;0;173;67;Benevent;Lazaar Achraf
1567;Liga;Spain;Adalberto Penaranda Maestre ;VEN;Venezuela, Bolivarian Republic of;20;0;183;78;Malaga;Penaranda Maestre Adalberto
648;Premier League;England;Adam Bogdan ;HUN;Hungary;30;0;194;90;Liverpool;Bogd\xe1n Ad\xe1m
248;Ligue 1;France;Adam Jakubech ;SVK;Slovakia;21;0;0;0;Lille;Jakubech Adam
763;Premier League;England;Adam Jay Federici ;AUS;Australia;33;0;188;90;Bournemouth;Federici Adam Jay
874;Premier League;England;Adam King ;SCO;Scotland;22;0;0;0;Swansea City;King Adam
892;Premier League;England;Adam Lallana ;ENG;England;29;0;173;72;Liverpool;Lallana Adam
300;Ligue 1;France;Adam Lang ;HUN;Hungary;25;0;0;0;Dijon;Lang Ad\xe1m
897;Premier League;England;Adam Legzdins ;ENG;England;31;0;183;77;Burnley;Legzdins Adam
2668;Serie A;Italy;Adam Marusic ;SER;Serbia;25;0;185;76;Lazio Rome;Marusic Adam
2670;Serie A;Italy;Adam Masina ;ITA;Italy;24;0;0;0;Bologne;Masina Adam
2710;Serie A;Italy;Adam Nagy ;HUN;Hungary;22;0;0;0;Bologne;Nagy Adam
2723;Serie A;Italy;Adam Ounas ;FRA;France;21;0;172;61;Naples;Ounas Adam
1102;Premier League;England;Adam Smith ;ENG;England;26;0;180;78;Bournemouth;Smith Adam
2241;Bundesliga;Germany;Adam Szalai ;HUN;Hungary;30;0;193;87;Hoffenheim;Szalai Ad\xe1m
141;Ligue 1;France;Adama Diakhaby ;FRA;France;21;0;184;65;Monaco;Diakhaby Adama
359;Ligue 1;France;Adama Mbengue ;SEN;Senegal;24;0;0;0;Caen;Mbengue Adama
398;Ligue 1;France;Adama Niane ;MLI;Mali;24;0;0;0;Troyes;Niane Adama
518;Ligue 1;France;Adama Soumaoro ;FRA;France;25;0;186;93;Lille;Soumaoro Adama
555;Ligue 1;France;Adama Traore ;MLI;Mali;22;0;180;72;Monaco;Traor\xe9 Adama
2858;Serie A;Italy;Adel Taarabt ;MAR;Morocco;28;0;180;76;Genoa;Taarabt Adel
2639;Serie A;Italy;Adem Ljajic ;SER;Serbia;26;0;182;74;Torino FC;Ljajic Adem
