IDP	KEY	MT
18	2013-02-01	1261.5
18	2013-03-01	18540.5
18	2013-04-01	24837.0
18	2013-05-01	36061.0
18	2013-06-01	51678.0
18	2013-07-01	60513.0
18	2013-08-01	46967.5
18	2013-09-01	44937.5
18	2013-10-01	36079.0
18	2013-11-01	52155.5
18	2013-12-01	135343.5
18	2014-01-01	211963.5
18	2014-02-01	272651.0
18	2014-03-01	221024.0
18	2014-04-01	97936.0
18	2014-05-01	105547.5
18	2014-06-01	114231.0
18	2014-07-01	120060.0
18	2014-08-01	107638.0
18	2014-09-01	121193.5
18	2014-10-01	156668.0
18	2014-11-01	142455.5
19	2013-02-01	1639.5
19	2013-03-01	7877.5
19	2013-04-01	7715.5
19	2013-05-01	20632.5
19	2013-06-01	30435.0
19	2013-07-01	30322.0
19	2013-08-01	31791.5
19	2013-09-01	32435.5
19	2013-10-01	33962.5
19	2013-11-01	81404.0
19	2013-12-01	579082.5
19	2014-01-01	160578.0
19	2014-02-01	172389.0
19	2014-03-01	202331.0
19	2014-04-01	232356.0
19	2014-05-01	134382.5
19	2014-06-01	136763.0
19	2014-07-01	135121.0
19	2014-08-01	139351.5
19	2014-09-01	184373.0
19	2014-10-01	241752.0
19	2014-11-01	248344.0
20	2013-02-01	273.0
20	2013-03-01	2118.0
20	2013-04-01	2068.5
20	2013-05-01	3753.5
20	2013-06-01	4427.0
20	2013-07-01	5257.0
20	2013-08-01	4685.5
20	2013-09-01	5192.5
20	2013-10-01	6375.5
20	2013-11-01	6743.0
20	2013-12-01	12842.5
20	2014-01-01	15610.5
20	2014-02-01	27423.5
20	2014-03-01	19134.0
20	2014-04-01	8981.5
20	2014-05-01	18359.0
20	2014-06-01	16793.5
20	2014-07-01	17410.5
20	2014-08-01	16779.5
20	2014-09-01	15965.0
20	2014-10-01	17453.5
20	2014-11-01	19874.0
21	2013-02-01	865.5
21	2013-03-01	3137.5
21	2013-04-01	4495.5
21	2013-05-01	5339.5
21	2013-06-01	7979.5
21	2013-07-01	7357.5
21	2013-08-01	7695.5
21	2013-09-01	7523.0
21	2013-10-01	8819.5
21	2013-11-01	9735.0
21	2013-12-01	15435.5
21	2014-01-01	21800.0
21	2014-02-01	33171.0
21	2014-03-01	25868.5
21	2014-04-01	16741.5
21	2014-05-01	20776.0
21	2014-06-01	25766.0
21	2014-07-01	29644.0
21	2014-08-01	25978.0
21	2014-09-01	25178.5
21	2014-10-01	25185.0
21	2014-11-01	23587.0
22	2013-02-01	49.5
22	2013-03-01	1727.5
22	2013-04-01	825.0
22	2013-05-01	1121.5
22	2013-06-01	1511.0
22	2013-07-01	1774.5
22	2013-08-01	1725.5
22	2013-09-01	1824.5
22	2013-10-01	2605.0
22	2013-11-01	2500.0
22	2013-12-01	3927.5
22	2014-01-01	7886.0
22	2014-02-01	14131.5
22	2014-03-01	12817.0
22	2014-04-01	6854.5
22	2014-05-01	8590.0
22	2014-06-01	8534.5
22	2014-07-01	9047.0
22	2014-08-01	9251.0
22	2014-09-01	9329.5
22	2014-10-01	10469.5
22	2014-11-01	8481.0
23	2013-02-01	336.0
23	2013-03-01	1090.0
23	2013-04-01	1110.0
23	2013-05-01	1289.0
23	2013-06-01	1050.0
23	2013-07-01	692.0
23	2013-08-01	1519.5
23	2013-09-01	1115.5
23	2013-10-01	1124.5
23	2013-11-01	2378.5
23	2013-12-01	5781.5
23	2014-01-01	7331.5
23	2014-02-01	12286.5
23	2014-03-01	6029.5
23	2014-04-01	4542.0
23	2014-05-01	9083.5
23	2014-06-01	4311.5
23	2014-07-01	5719.0
23	2014-08-01	5927.5
23	2014-09-01	6436.5
23	2014-10-01	6870.0
23	2014-11-01	6493.0
24	2013-02-01	28.0
24	2013-03-01	97.0
24	2013-04-01	131.5
24	2013-05-01	209.5
24	2013-06-01	348.0
24	2013-07-01	330.5
24	2013-08-01	549.5
24	2013-09-01	597.5
24	2013-10-01	437.0
24	2013-11-01	813.0
24	2013-12-01	805.0
24	2014-01-01	1194.5
24	2014-02-01	1671.0
24	2014-03-01	1505.5
24	2014-04-01	1623.5
24	2014-05-01	2394.5
24	2014-06-01	2106.5
24	2014-07-01	1160.0
24	2014-08-01	1522.5
24	2014-09-01	1672.0
24	2014-10-01	1914.5
24	2014-11-01	1688.5
25	2013-02-01	51.0
25	2013-03-01	1182.0
25	2013-04-01	1011.5
25	2013-05-01	3532.0
25	2013-06-01	3258.0
25	2013-07-01	5146.0
25	2013-08-01	6508.0
25	2013-09-01	4460.0
25	2013-10-01	4075.5
25	2013-11-01	6463.5
25	2013-12-01	10326.0
25	2014-01-01	11147.0
25	2014-02-01	23509.5
25	2014-03-01	12576.5
25	2014-04-01	10467.5
25	2014-05-01	15410.5
25	2014-06-01	13509.0
25	2014-07-01	13702.5
25	2014-08-01	10805.0
25	2014-09-01	3532.5
25	2014-10-01	1742.0
25	2014-11-01	1081.0
26	2013-02-01	19.5
26	2013-03-01	485.0
26	2013-04-01	818.0
26	2013-05-01	932.0
26	2013-06-01	1629.0
26	2013-07-01	1488.0
26	2013-08-01	2010.5
26	2013-09-01	2157.5
26	2013-10-01	2254.5
26	2013-11-01	3044.0
26	2013-12-01	3186.0
26	2014-01-01	3945.5
26	2014-02-01	6348.0
26	2014-03-01	5053.5
26	2014-04-01	5002.5
26	2014-05-01	5340.0
26	2014-06-01	5582.0
26	2014-07-01	5289.5
26	2014-08-01	5809.5
26	2014-09-01	5029.0
26	2014-10-01	5545.0
26	2014-11-01	4644.5
27	2013-02-01	568.0
27	2013-03-01	2268.5
27	2013-04-01	2061.5
27	2013-05-01	2131.5
27	2013-06-01	2151.0
27	2013-07-01	1832.0
27	2013-08-01	3339.0
27	2013-09-01	2678.0
27	2013-10-01	1602.0
27	2013-11-01	4293.0
27	2013-12-01	3660.5
27	2014-01-01	6756.5
27	2014-02-01	10990.0
27	2014-03-01	10667.0
27	2014-04-01	10175.5
27	2014-05-01	10718.5
27	2014-06-01	7963.0
27	2014-07-01	8528.5
27	2014-08-01	9780.0
27	2014-09-01	10778.0
27	2014-10-01	10167.0
27	2014-11-01	7028.0
28	2013-02-01	282.0
28	2013-03-01	1214.5
28	2013-04-01	1394.5
28	2013-05-01	2249.5
28	2013-06-01	1732.0
28	2013-07-01	1491.5
28	2013-08-01	1974.5
28	2013-09-01	2068.0
28	2013-10-01	1364.0
28	2013-11-01	2299.0
28	2013-12-01	4110.5
28	2014-01-01	9897.5
28	2014-02-01	13335.0
28	2014-03-01	15974.0
28	2014-04-01	9609.5
28	2014-05-01	11280.0
28	2014-06-01	7726.0
28	2014-07-01	10188.5
28	2014-08-01	7407.0
28	2014-09-01	6981.5
28	2014-10-01	10264.0
28	2014-11-01	8634.5
29	2013-02-01	645.0
29	2013-03-01	1845.0
29	2013-04-01	2898.0
29	2013-05-01	7681.5
29	2013-06-01	8574.0
29	2013-07-01	11730.0
29	2013-08-01	15871.5
29	2013-09-01	10040.5
29	2013-10-01	9288.5
29	2013-11-01	12808.5
29	2013-12-01	16709.5
29	2014-01-01	21549.5
29	2014-02-01	31091.0
29	2014-03-01	25759.5
29	2014-04-01	19309.0
29	2014-05-01	40226.0
29	2014-06-01	23725.0
29	2014-07-01	27886.5
29	2014-08-01	26491.5
29	2014-09-01	28824.0
29	2014-10-01	26735.5
29	2014-11-01	21808.5
30	2013-02-01	40.0
30	2013-03-01	823.5
30	2013-04-01	893.0
30	2013-05-01	1013.0
30	2013-06-01	1087.0
30	2013-07-01	1356.0
30	2013-08-01	1839.0
30	2013-09-01	1324.0
30	2013-10-01	1411.0
30	2013-11-01	1288.0
30	2013-12-01	1851.0
30	2014-01-01	3248.5
30	2014-02-01	4903.0
30	2014-03-01	4208.0
30	2014-04-01	3531.0
30	2014-05-01	4096.5
30	2014-06-01	2759.5
30	2014-07-01	3458.0
30	2014-08-01	3979.0
30	2014-09-01	3804.0
30	2014-10-01	4089.0
30	2014-11-01	2996.5
31	2013-03-01	296.15
31	2013-04-01	1071.55
31	2013-05-01	1563.45
31	2013-06-01	1074.35
31	2013-07-01	912.7
31	2013-08-01	1627.15
31	2013-09-01	2039.05
31	2013-10-01	1763.5
31	2013-11-01	2237.15
31	2013-12-01	2886.65
31	2014-01-01	3301.15
31	2014-02-01	4244.0
31	2014-03-01	3935.85
31	2014-04-01	3870.35
31	2014-05-01	4276.35
31	2014-06-01	4021.25
31	2014-07-01	4877.55
31	2014-08-01	4497.35
31	2014-09-01	3677.05
31	2014-10-01	4487.35
31	2014-11-01	3001.2
32	2013-03-01	157.5
32	2013-04-01	593.0
32	2013-05-01	1084.5
32	2013-06-01	1091.0
32	2013-07-01	899.5
32	2013-08-01	1350.5
32	2013-09-01	1286.0
32	2013-10-01	791.5
32	2013-11-01	999.5
32	2013-12-01	1671.0
32	2014-01-01	5602.0
32	2014-02-01	7192.0
32	2014-03-01	5566.0
32	2014-04-01	3506.5
32	2014-05-01	15190.5
32	2014-06-01	5385.0
32	2014-07-01	6250.0
32	2014-08-01	5233.5
32	2014-09-01	4270.0
32	2014-10-01	4472.0
32	2014-11-01	3600.5
