KEY	KEY2_1	KEY2	MT	MT2	IDC
2013-02-01	24146	24158	6058.5	1605	46
2013-03-01	24147	24159	42860.15	10183	117
2013-04-01	24148	24160	51924.05	10474	112
2013-05-01	24149	24161	88593.95	16936	134
2013-06-01	24150	24162	118024.85	20299	152
2013-07-01	24151	24163	131102.2	18419	164
2013-08-01	24152	24164	129454.65	22855	197
2013-09-01	24153	24165	119679.05	21286	185
2013-10-01	24154	24166	111953.5	22749	207
2013-11-01	24155	24167	189161.65	32840	220
2013-12-01	24156	24168	797619.15	45850	339
2014-01-01	24157	24169	491811.65	63318	508
2014-02-01	24158	24170	635336.0	82301	690
2014-03-01	24159	24171	572449.85	79641	619
2014-04-01	24160	24172	434506.85	73841	558
2014-05-01	24161	24173	405671.35	79536	520
2014-06-01	24162	24174	379176.75	80134	630
2014-07-01	24163	24175	398342.55	86243	599
2014-08-01	24164	24176	380450.85	87853	569
2014-09-01	24165	24177	431044.05	81335	533
2014-10-01	24166	24178	527814.35	88329	589
2014-11-01	24167	24179	503717.7	65381	535
