	KEYMIN2	DIF	MT	IDC	MT_TOT	IDC_TOT	IDC_PCT
0	24158	0	6058.5	46	192353.0	46	1.0
1	24158	1	13282.8	35	192353.0	46	0.760869565217
2	24158	2	7714.75	30	192353.0	46	0.652173913043
3	24158	3	6892.25	24	192353.0	46	0.521739130435
4	24158	4	7955.5	21	192353.0	46	0.45652173913
5	24158	5	15022.15	18	192353.0	46	0.391304347826
6	24158	6	14523.35	21	192353.0	46	0.45652173913
7	24158	7	5992.0	22	192353.0	46	0.478260869565
8	24158	8	5086.25	27	192353.0	46	0.586956521739
9	24158	9	7066.85	25	192353.0	46	0.54347826087
10	24158	10	10987.9	30	192353.0	46	0.652173913043
11	24158	11	14875.15	30	192353.0	46	0.652173913043
12	24158	12	10055.45	29	192353.0	46	0.630434782609
13	24158	13	9665.15	27	192353.0	46	0.586956521739
14	24158	14	7492.55	23	192353.0	46	0.5
15	24158	15	5956.7	25	192353.0	46	0.54347826087
16	24158	16	5973.1	25	192353.0	46	0.54347826087
17	24158	17	5870.65	24	192353.0	46	0.521739130435
18	24158	18	8098.6	20	192353.0	46	0.434782608696
19	24158	19	9502.25	21	192353.0	46	0.45652173913
20	24158	20	10023.75	23	192353.0	46	0.5
21	24158	21	4257.35	21	192353.0	46	0.45652173913
22	24159	0	29577.35	82	853725.6	82	1.0
23	24159	1	33376.85	54	853725.6	82	0.658536585366
24	24159	2	40689.1	49	853725.6	82	0.59756097561
25	24159	3	55466.3	52	853725.6	82	0.634146341463
26	24159	4	53658.35	43	853725.6	82	0.524390243902
27	24159	5	36356.2	47	853725.6	82	0.573170731707
28	24159	6	41421.15	39	853725.6	82	0.475609756098
29	24159	7	31062.1	49	853725.6	82	0.59756097561
30	24159	8	36580.45	42	853725.6	82	0.512195121951
31	24159	9	41358.3	48	853725.6	82	0.585365853659
32	24159	10	50542.8	48	853725.6	82	0.585365853659
33	24159	11	47515.35	45	853725.6	82	0.548780487805
34	24159	12	55480.65	42	853725.6	82	0.512195121951
35	24159	13	34414.05	41	853725.6	82	0.5
36	24159	14	41646.85	40	853725.6	82	0.487804878049
37	24159	15	32298.6	39	853725.6	82	0.475609756098
38	24159	16	30897.9	34	853725.6	82	0.414634146341
39	24159	17	26908.1	40	853725.6	82	0.487804878049
40	24159	18	21332.8	33	853725.6	82	0.40243902439
41	24159	19	71854.55	36	853725.6	82	0.439024390244
42	24159	20	41287.8	30	853725.6	82	0.365853658537
43	24160	0	10832.45	28	309224.85	28	1.0
44	24160	1	23896.1	21	309224.85	28	0.75
45	24160	2	18418.9	19	309224.85	28	0.678571428571
46	24160	3	20776.3	17	309224.85	28	0.607142857143
47	24160	4	24481.85	17	309224.85	28	0.607142857143
48	24160	5	15859.85	13	309224.85	28	0.464285714286
49	24160	6	13798.9	14	309224.85	28	0.5
50	24160	7	22404.5	16	309224.85	28	0.571428571429
51	24160	8	28848.5	18	309224.85	28	0.642857142857
52	24160	9	18354.55	18	309224.85	28	0.642857142857
53	24160	10	18873.8	17	309224.85	28	0.607142857143
54	24160	11	12822.7	17	309224.85	28	0.607142857143
55	24160	12	7660.35	13	309224.85	28	0.464285714286
56	24160	13	7388.35	14	309224.85	28	0.5
57	24160	14	10897.4	13	309224.85	28	0.464285714286
58	24160	15	15035.45	11	309224.85	28	0.392857142857
59	24160	16	11262.45	13	309224.85	28	0.464285714286
60	24160	17	11892.95	12	309224.85	28	0.428571428571
61	24160	18	8496.4	11	309224.85	28	0.392857142857
62	24160	19	7223.1	11	309224.85	28	0.392857142857
63	24161	0	17116.5	40	378351.65	40	1.0
64	24161	1	31547.95	35	378351.65	40	0.875
65	24161	2	28119.75	30	378351.65	40	0.75
66	24161	3	21877.0	24	378351.65	40	0.6
67	24161	4	11168.5	17	378351.65	40	0.425
68	24161	5	10541.0	22	378351.65	40	0.55
69	24161	6	13326.0	20	378351.65	40	0.5
70	24161	7	17835.0	23	378351.65	40	0.575
71	24161	8	16590.75	28	378351.65	40	0.7
72	24161	9	19228.95	26	378351.65	40	0.65
73	24161	10	16386.85	22	378351.65	40	0.55
74	24161	11	14979.8	19	378351.65	40	0.475
75	24161	12	21152.0	20	378351.65	40	0.5
76	24161	13	20004.25	20	378351.65	40	0.5
77	24161	14	27383.15	21	378351.65	40	0.525
78	24161	15	24243.2	23	378351.65	40	0.575
79	24161	16	14801.8	21	378351.65	40	0.525
80	24161	17	26103.9	24	378351.65	40	0.6
81	24161	18	25945.3	20	378351.65	40	0.5
82	24162	0	4636.2	25	94547.65	25	1.0
83	24162	1	8656.05	19	94547.65	25	0.76
84	24162	2	9948.5	17	94547.65	25	0.68
85	24162	3	5415.0	15	94547.65	25	0.6
86	24162	4	3840.5	13	94547.65	25	0.52
87	24162	5	5098.5	13	94547.65	25	0.52
88	24162	6	5075.5	13	94547.65	25	0.52
89	24162	7	6115.8	14	94547.65	25	0.56
90	24162	8	4914.5	15	94547.65	25	0.6
91	24162	9	5698.6	16	94547.65	25	0.64
