	KEY_x	KEY2_1_x	KEY2_x	MT_x	MT2_x	IDC_x	KEY_y	KEY2_1_y	KEY2_y	MT_y	MT2_y	IDC_y	DIF_IDC	DIF_MT	DIF_MT2	PCT_IDC	PCT_MT	PCT_MT2
0	2013-02-01	24146	24158	6058.5	1605	46												
1	2013-03-01	24147	24159	42860.15	10183	117												
2	2013-04-01	24148	24160	51924.05	10474	112												
3	2013-05-01	24149	24161	88593.95	16936	134												
4	2013-06-01	24150	24162	118024.85	20299	152												
5	2013-07-01	24151	24163	131102.2	18419	164												
6	2013-08-01	24152	24164	129454.65	22855	197												
7	2013-09-01	24153	24165	119679.05	21286	185												
8	2013-10-01	24154	24166	111953.5	22749	207												
9	2013-11-01	24155	24167	189161.65	32840	220												
10	2013-12-01	24156	24168	797619.15	45850	339												
11	2014-01-01	24157	24169	491811.65	63318	508												
12	2014-02-01	24158	24170	635336.0	82301	690	2013-02-01	24146.0	24158.0	6058.5	1605.0	46.0	644.0	629277.5	80696.0	14.0	103.866881241	50.2778816199
13	2014-03-01	24159	24171	572449.85	79641	619	2013-03-01	24147.0	24159.0	42860.15	10183.0	117.0	502.0	529589.7	69458.0	4.2905982906	12.3562260048	6.8209761367
14	2014-04-01	24160	24172	434506.85	73841	558	2013-04-01	24148.0	24160.0	51924.05	10474.0	112.0	446.0	382582.8	63367.0	3.98214285714	7.36812324925	6.04993316784
15	2014-05-01	24161	24173	405671.35	79536	520	2013-05-01	24149.0	24161.0	88593.95	16936.0	134.0	386.0	317077.4	62600.0	2.88059701493	3.57899608269	3.6962683042
16	2014-06-01	24162	24174	379176.75	80134	630	2013-06-01	24150.0	24162.0	118024.85	20299.0	152.0	478.0	261151.9	59835.0	3.14473684211	2.2126857183	2.94768215183
17	2014-07-01	24163	24175	398342.55	86243	599	2013-07-01	24151.0	24163.0	131102.2	18419.0	164.0	435.0	267240.35	67824.0	2.65243902439	2.03841239888	3.68228459743
18	2014-08-01	24164	24176	380450.85	87853	569	2013-08-01	24152.0	24164.0	129454.65	22855.0	197.0	372.0	250996.2	64998.0	1.8883248731	1.93887357465	2.84392911835
19	2014-09-01	24165	24177	431044.05	81335	533	2013-09-01	24153.0	24165.0	119679.05	21286.0	185.0	348.0	311365.0	60049.0	1.88108108108	2.60166670775	2.82105609321
20	2014-10-01	24166	24178	527814.35	88329	589	2013-10-01	24154.0	24166.0	111953.5	22749.0	207.0	382.0	415860.85	65580.0	1.84541062802	3.71458551988	2.88276407754
21	2014-11-01	24167	24179	503717.7	65381	535	2013-11-01	24155.0	24167.0	189161.65	32840.0	220.0	315.0	314556.05	32541.0	1.43181818182	1.66289546533	0.990895249695
