RECENCE	MT	NB	no_cumulative	no_cumulative2
0	5120920.9	535	535	1947
1	205637.45	144	679	1947
2	238363.85	84	763	1947
3	128393.35	78	841	1947
4	96452.45	144	985	1947
5	205131.5	174	1159	1947
6	38365.7	93	1252	1947
7	512136.9	140	1392	1947
8	90724.3	148	1540	1947
9	215981.05	179	1719	1947
10	24992.85	92	1811	1947
11	5693.6	32	1843	1947
12	3470.0	9	1852	1947
13	12512.35	16	1868	1947
14	4358.4	15	1883	1947
15	29027.5	17	1900	1947
16	2285.35	13	1913	1947
17	6197.75	8	1921	1947
18	3365.0	4	1925	1947
19	478.0	7	1932	1947
20	2238.4	9	1941	1947
21	27.0	6	1947	1947
