IDP	KEY	MT
Couple	2013-02-01	1639.5
Couple	2013-03-01	7877.5
Couple	2013-04-01	7715.5
Couple	2013-05-01	20632.5
Couple	2013-06-01	30435.0
Couple	2013-07-01	30322.0
Couple	2013-08-01	31791.5
Couple	2013-09-01	32435.5
Couple	2013-10-01	33962.5
Couple	2013-11-01	74024.0
Couple	2013-12-01	128731.5
Couple	2014-01-01	123753.0
Couple	2014-02-01	2619.0
Couple	2014-04-01	0.5
Couple	2014-05-01	60.0
Couple	2014-07-01	843.0
Couple	2014-09-01	62.0
Couple	2014-10-01	1.0
Jackpot	2013-01-01	2005.9
Jackpot	2013-02-01	1172.0
Jackpot	2013-03-01	3648.5
Jackpot	2013-04-01	3232.8
Jackpot	2013-05-01	3205.5
Jackpot	2013-06-01	5306.1
Jackpot	2013-07-01	6142.1
Jackpot	2013-08-01	7169.2
Jackpot	2013-09-01	5101.2
Jackpot	2013-10-01	6294.8
Jackpot	2013-11-01	7173.0
Jackpot	2013-12-01	6374.5
Jackpot	2014-01-01	13674.5
Jackpot	2014-02-01	158.5
Jackpot	2014-07-01	53.0
Jackpot	2014-09-01	31.5
Multi	2013-01-01	7416.5
Multi	2013-02-01	4878.3
Multi	2013-03-01	9212.95
Multi	2013-04-01	8296.65
Multi	2013-05-01	10297.55
Multi	2013-06-01	14799.65
Multi	2013-07-01	14394.1
Multi	2013-08-01	19534.55
Multi	2013-09-01	15596.75
Multi	2013-10-01	14540.3
Multi	2013-11-01	21855.95
Multi	2013-12-01	17436.15
Multi	2014-01-01	22170.65
Multi	2014-02-01	845.95
Multi	2014-07-01	18.0
Multi	2014-08-01	3.0
Multi	2014-09-01	1.5
Quarte	2013-02-01	555.0
Quarte	2013-03-01	3332.5
Quarte	2013-04-01	3463.0
Quarte	2013-05-01	6003.0
Quarte	2013-06-01	6159.0
Quarte	2013-07-01	6748.5
Quarte	2013-08-01	6660.0
Quarte	2013-09-01	7260.5
Quarte	2013-10-01	7739.5
Quarte	2013-11-01	9042.0
Quarte	2013-12-01	16953.0
Quarte	2014-01-01	25508.0
Quarte	2014-02-01	453.5
Quarte	2014-04-01	1.0
Quarte	2014-05-01	1.0
Quarte	2014-07-01	177.5
Quarte	2014-09-01	10.0
Quinte	2013-02-01	1510.5
Quinte	2013-03-01	4982.5
Quinte	2013-04-01	7393.5
Quinte	2013-05-01	13021.0
Quinte	2013-06-01	16553.5
Quinte	2013-07-01	19087.5
Quinte	2013-08-01	23567.0
Quinte	2013-09-01	17563.5
Quinte	2013-10-01	18108.0
Quinte	2013-11-01	22543.5
Quinte	2013-12-01	32145.0
Quinte	2014-01-01	43349.5
Quinte	2014-02-01	581.0
Quinte	2014-05-01	9.0
Quinte	2014-07-01	284.5
Quinte	2014-09-01	10.0
Simple	2013-02-01	1261.5
Simple	2013-03-01	18540.5
Simple	2013-04-01	24837.0
Simple	2013-05-01	36061.0
Simple	2013-06-01	49378.0
Simple	2013-07-01	53013.0
Simple	2013-08-01	46967.5
Simple	2013-09-01	40299.5
Simple	2013-10-01	36079.0
Simple	2013-11-01	51155.5
Simple	2013-12-01	82616.5
Simple	2014-01-01	146844.5
Simple	2014-02-01	1317.0
Simple	2014-05-01	17.0
Simple	2014-07-01	1510.0
Simple	2014-08-01	1.0
Simple	2014-09-01	338.5
Trio	2013-02-01	70.5
Trio	2013-03-01	1667.0
Trio	2013-04-01	1829.5
Trio	2013-05-01	4464.0
Trio	2013-06-01	4887.0
Trio	2013-07-01	6634.0
Trio	2013-08-01	8518.5
Trio	2013-09-01	6617.5
Trio	2013-10-01	6330.0
Trio	2013-11-01	9507.5
Trio	2013-12-01	13512.0
Trio	2014-01-01	15092.5
Trio	2014-02-01	372.0
Trio	2014-05-01	1.0
Trio	2014-07-01	47.5
Trio	2014-09-01	135.0
