WEEK	MT	MT2	IDC
2013-S1	23818.9	4189	182
2013-S10	8511.8	2778	67
2013-S11	11325.2	2605	79
2013-S12	13655.45	2817	87
2013-S13	13224.5	3023	75
2013-S14	14083.35	3092	77
2013-S15	15941.45	3412	80
2013-S16	13071.0	2499	83
2013-S17	10401.55	2442	76
2013-S18	11616.7	2912	75
2013-S19	17947.25	3523	82
2013-S2	2289.8	776	31
2013-S20	20963.75	4405	87
2013-S21	26652.85	4373	105
2013-S22	27187.5	5604	112
2013-S23	22334.3	5640	110
2013-S24	26991.8	5224	118
2013-S25	36875.7	5247	101
2013-S26	33903.55	5966	120
2013-S27	27840.6	4966	115
2013-S28	29469.5	4500	113
2013-S29	20005.95	3917	127
2013-S3	2030.2	522	28
2013-S30	43485.3	5787	133
2013-S31	35013.5	6561	133
2013-S32	43050.35	7071	139
2013-S33	31281.1	5519	135
2013-S34	26631.4	5864	146
2013-S35	28850.35	5697	144
2013-S36	28532.65	5216	140
2013-S37	28104.0	5552	141
2013-S38	26124.2	5684	145
2013-S39	33559.65	6104	142
2013-S4	2162.5	633	29
2013-S40	28326.55	6592	145
2013-S41	28618.1	5968	150
2013-S42	26241.5	5942	150
2013-S43	25819.65	4702	149
2013-S44	36142.45	7398	158
2013-S45	33828.25	7660	166
2013-S46	48259.75	9289	183
2013-S47	45261.45	8021	171
2013-S48	58184.5	9412	182
2013-S49	72467.5	9912	197
2013-S5	1563.4	444	27
2013-S50	66816.0	9841	203
2013-S51	59569.3	9102	206
2013-S52	67622.15	12808	259
2013-S6	2129.7	651	28
2013-S7	1129.0	342	25
2013-S8	5464.3	1430	57
2013-S9	4908.8	1511	38
2014-S1	47445.5	8983	210
2014-S14	1.5	3	3
2014-S2	84070.35	13184	269
2014-S21	88.0	26	6
2014-S29	2933.5	303	58
2014-S3	87279.2	13712	291
2014-S32	4.0	2	2
2014-S39	588.5	76	27
2014-S4	126625.05	14553	317
2014-S43	1.0	1	1
2014-S5	51266.9	14329	335
2014-S6	52.6	12	9
