DATE	MT	MT2	IDC
2013-01-01	1376.5	315	24
2013-01-07	741.7	351	20
2013-01-08	1548.1	425	27
2013-01-15	2030.2	522	28
2013-01-21	707.3	230	14
2013-01-22	1455.2	403	24
2013-01-29	1563.4	444	27
2013-02-04	672.6	270	11
2013-02-05	1457.1	381	26
2013-02-15	132.5	13	3
2013-02-16	996.5	329	24
2013-02-18	459.9	197	16
2013-02-19	1310.2	333	28
2013-02-20	93.0	18	2
2013-02-21	482.0	109	11
2013-02-22	1193.0	300	20
2013-02-23	1278.0	333	18
2013-02-24	648.2	140	26
2013-02-25	516.5	144	16
2013-02-26	1010.0	301	22
2013-02-27	323.8	113	15
2013-02-28	514.0	147	15
2013-03-01	732.0	245	19
2013-03-02	1006.0	238	20
2013-03-03	806.5	323	23
2013-03-04	1124.5	457	21
2013-03-05	1827.8	679	30
2013-03-06	976.0	280	19
2013-03-07	574.5	243	16
2013-03-08	1287.5	254	22
2013-03-09	1076.0	329	29
2013-03-10	1645.5	536	30
2013-03-11	1090.5	298	26
2013-03-12	820.0	214	22
2013-03-13	1898.0	479	35
2013-03-14	1587.0	285	25
2013-03-15	2707.7	664	46
2013-03-16	2248.5	389	25
2013-03-17	973.5	276	31
2013-03-18	2832.3	484	40
2013-03-19	2820.0	354	33
2013-03-20	2280.1	395	32
2013-03-21	992.6	377	32
2013-03-22	932.35	296	28
2013-03-23	2340.3	526	51
2013-03-24	1457.8	385	43
2013-03-25	2950.0	472	30
2013-03-26	991.6	355	31
2013-03-27	1646.6	344	31
2013-03-28	2345.0	383	29
2013-03-29	1331.5	394	30
2013-03-30	2585.7	754	51
2013-03-31	1374.1	321	30
2013-04-01	1736.05	631	36
2013-04-02	2088.35	508	35
2013-04-03	1464.75	356	34
2013-04-04	1988.5	397	38
2013-04-05	1423.25	401	30
2013-04-06	3827.2	448	37
2013-04-07	1555.25	351	30
2013-04-08	1432.1	418	28
2013-04-09	2144.1	637	40
2013-04-10	2090.65	416	37
2013-04-11	2043.95	521	42
2013-04-12	5449.5	867	49
2013-04-13	1253.5	335	38
2013-04-14	1527.65	218	31
2013-04-15	1752.7	269	32
2013-04-16	1589.2	306	36
2013-04-17	3580.5	491	35
2013-04-18	707.0	240	31
2013-04-19	3437.55	685	53
2013-04-20	1105.75	341	34
2013-04-21	898.3	167	30
2013-04-22	1131.0	250	33
2013-04-23	989.5	296	34
2013-04-24	804.6	240	30
2013-04-25	936.5	239	25
2013-04-26	3183.4	819	53
2013-04-27	1273.8	303	33
2013-04-28	2082.75	295	31
2013-04-29	1631.6	297	30
2013-04-30	1639.0	369	33
2013-05-01	1633.4	576	43
2013-05-02	1159.25	308	35
2013-05-03	2653.3	525	31
2013-05-04	1743.45	472	41
2013-05-05	1156.7	365	34
2013-05-06	1851.2	372	29
2013-05-07	1723.0	359	35
2013-05-08	1373.0	315	27
2013-05-09	4995.2	838	54
2013-05-10	3016.75	564	44
2013-05-11	2922.3	570	44
2013-05-12	2065.8	505	37
2013-05-13	1312.6	453	44
2013-05-14	2886.5	657	45
2013-05-15	2395.0	579	44
2013-05-16	3327.75	505	46
2013-05-17	4695.2	625	48
2013-05-18	3576.6	895	56
2013-05-19	2770.1	691	53
2013-05-20	5797.5	613	51
2013-05-21	3409.0	603	53
2013-05-22	3521.0	471	45
2013-05-23	4063.6	624	50
2013-05-24	4172.0	583	54
2013-05-25	3146.5	782	66
2013-05-26	2543.25	697	51
2013-05-27	3279.6	531	42
2013-05-28	3823.0	756	54
2013-05-29	3048.6	707	61
2013-05-30	5057.7	930	63
2013-05-31	4565.7	944	68
2013-06-01	4156.5	1030	68
2013-06-02	3256.4	706	61
2013-06-03	1864.2	630	48
2013-06-04	2421.9	654	54
2013-06-05	2779.0	767	55
2013-06-06	3246.25	803	57
2013-06-07	4677.25	1197	72
2013-06-08	4824.95	1072	72
2013-06-09	2520.75	517	43
2013-06-10	1874.35	546	50
2013-06-11	3832.3	767	53
2013-06-12	4171.15	790	65
2013-06-13	2450.65	582	46
2013-06-14	6398.8	957	73
2013-06-15	5745.9	1009	67
2013-06-16	2518.65	573	51
2013-06-17	3314.3	575	46
2013-06-18	5716.6	655	49
2013-06-19	2726.6	589	47
2013-06-20	4535.9	678	46
2013-06-21	7385.2	1182	73
2013-06-22	4955.5	870	64
2013-06-23	8241.6	698	48
2013-06-24	3115.9	913	63
2013-06-25	8555.8	863	54
2013-06-26	2603.8	595	45
2013-06-27	3881.5	783	56
2013-06-28	7723.8	1228	77
2013-06-29	5092.5	1046	68
2013-06-30	2930.25	538	48
2013-07-01	2765.8	814	64
2013-07-02	4502.5	730	54
2013-07-03	3535.8	627	53
2013-07-04	2496.1	493	52
2013-07-05	4626.9	795	55
2013-07-06	7658.9	957	67
2013-07-07	2254.6	550	52
2013-07-08	2527.9	626	56
2013-07-09	4257.8	715	49
2013-07-10	8586.8	512	54
2013-07-11	2148.7	375	49
2013-07-12	4144.3	791	56
2013-07-13	4622.0	952	68
2013-07-14	3182.0	529	53
2013-07-15	2069.3	549	55
2013-07-16	2362.5	464	48
2013-07-17	1630.35	318	35
2013-07-18	2009.1	449	47
2013-07-19	5452.1	1037	81
2013-07-20	3930.05	579	56
2013-07-21	2552.55	521	47
2013-07-22	4296.85	644	58
2013-07-23	4653.35	667	45
2013-07-24	5546.6	575	56
2013-07-25	4877.5	866	55
2013-07-26	6801.0	1355	76
2013-07-27	7066.6	800	70
2013-07-28	10243.4	880	66
2013-07-29	5179.75	986	72
2013-07-30	6730.5	937	62
2013-07-31	3629.6	794	65
2013-08-01	4310.3	804	57
2013-08-02	6231.7	1027	63
2013-08-03	5181.15	1215	81
2013-08-04	3750.5	798	53
2013-08-05	4108.3	1105	78
2013-08-06	7362.2	794	59
2013-08-07	4528.8	778	56
2013-08-08	6776.4	921	58
2013-08-09	7770.65	1462	82
2013-08-10	6712.2	934	67
2013-08-11	5791.8	1077	87
2013-08-12	4988.6	1100	76
2013-08-13	3916.3	697	54
2013-08-14	6241.0	772	65
2013-08-15	3934.2	717	60
2013-08-16	3344.3	542	55
2013-08-17	5359.1	989	73
2013-08-18	3497.6	702	71
2013-08-19	3671.6	887	79
2013-08-20	2239.1	623	65
2013-08-21	3471.05	764	68
2013-08-22	3415.05	675	64
2013-08-23	5571.4	1021	83
2013-08-24	4794.9	1206	92
2013-08-25	3468.3	688	68
2013-08-26	5385.45	811	79
2013-08-27	3327.55	562	54
2013-08-28	2317.25	527	57
2013-08-29	2547.75	584	48
2013-08-30	3725.4	777	66
2013-08-31	6468.35	1280	85
2013-09-01	5078.6	1156	88
2013-09-02	5276.85	766	68
2013-09-03	3280.75	779	71
2013-09-04	1867.5	521	61
2013-09-05	2451.75	591	57
2013-09-06	4338.35	654	68
2013-09-07	2396.95	662	75
2013-09-08	8920.5	1243	80
2013-09-09	2185.0	446	65
2013-09-10	5708.5	833	74
2013-09-11	3878.1	1131	89
2013-09-12	1905.5	542	55
2013-09-13	4700.2	835	72
2013-09-14	4588.75	999	87
2013-09-15	5137.95	766	61
2013-09-16	2919.5	885	76
2013-09-17	4372.0	957	77
2013-09-18	2975.45	791	70
2013-09-19	3754.5	608	63
2013-09-20	4092.2	788	77
2013-09-21	3094.8	657	58
2013-09-22	4915.75	998	86
2013-09-23	2796.5	760	60
2013-09-24	5622.4	706	58
2013-09-25	2616.0	728	61
2013-09-26	5286.3	700	64
2013-09-27	6082.5	1012	73
2013-09-28	5123.75	1075	75
2013-09-29	6032.2	1123	90
2013-09-30	3475.35	842	76
2013-10-01	3056.8	815	69
2013-10-02	3158.15	1088	61
2013-10-03	2848.2	792	60
2013-10-04	4522.65	870	77
2013-10-05	6587.2	1306	86
2013-10-06	4678.2	879	76
2013-10-07	2875.6	738	67
2013-10-08	5019.9	1048	86
2013-10-09	3396.4	576	57
2013-10-10	5184.9	834	74
2013-10-11	5001.75	803	72
2013-10-12	3890.3	1078	77
2013-10-13	3249.25	891	77
2013-10-14	3434.45	1003	77
2013-10-15	5451.8	1183	91
2013-10-16	2103.5	651	67
2013-10-17	2762.0	702	67
2013-10-18	4927.25	834	74
2013-10-19	4433.5	953	71
2013-10-20	3129.0	616	66
2013-10-21	2310.1	579	62
2013-10-22	3196.75	624	67
2013-10-23	4641.1	627	70
2013-10-24	3985.25	612	58
2013-10-25	4308.5	645	67
2013-10-26	3126.85	512	59
2013-10-27	4251.1	1103	88
2013-10-28	3605.5	1036	80
2013-10-29	6084.7	1015	77
2013-10-30	4495.9	855	70
2013-10-31	3337.55	904	73
2013-11-01	8358.25	1785	103
2013-11-02	4776.35	1001	92
2013-11-03	5484.2	802	75
2013-11-04	6082.15	1231	93
2013-11-05	4902.1	1097	95
2013-11-06	4087.5	909	73
2013-11-07	3170.8	989	73
2013-11-08	5734.9	1164	91
2013-11-09	6052.85	1414	102
2013-11-10	3797.95	856	77
2013-11-11	9228.2	2010	111
2013-11-12	5761.4	1210	83
2013-11-13	3147.0	776	67
2013-11-14	5232.05	1371	85
2013-11-15	10551.25	1791	120
2013-11-16	8725.75	1378	101
2013-11-17	5614.1	753	77
2013-11-18	5188.7	1036	92
2013-11-19	7265.85	1105	84
2013-11-20	4264.7	1151	80
2013-11-21	3976.0	1109	83
2013-11-22	8820.1	1764	111
2013-11-23	9359.6	1040	102
2013-11-24	6386.5	816	78
2013-11-25	11549.0	1611	98
2013-11-26	12021.75	1479	102
2013-11-27	6663.4	1224	92
2013-11-28	4827.05	1118	88
2013-11-29	7414.55	1426	90
2013-11-30	6857.45	1244	94
2013-12-01	8851.3	1310	98
2013-12-02	11039.6	1371	85
2013-12-03	7748.25	1340	94
2013-12-04	9032.1	1960	113
2013-12-05	11621.85	1288	89
2013-12-06	11389.4	1621	112
2013-12-07	13426.95	1162	97
2013-12-08	8209.35	1170	105
2013-12-09	10561.5	1327	96
2013-12-10	14230.9	1417	101
2013-12-11	10148.0	1887	113
2013-12-12	11955.0	1272	98
2013-12-13	6508.85	1374	94
2013-12-14	7227.25	1387	105
2013-12-15	6184.5	1177	99
2013-12-16	6665.7	1190	90
2013-12-17	6060.95	983	86
2013-12-18	13860.25	1585	104
2013-12-19	7620.9	1275	103
2013-12-20	9436.2	1325	93
2013-12-21	8525.0	1493	99
2013-12-22	7400.3	1251	105
2013-12-23	10339.6	2005	132
2013-12-24	8355.6	1550	121
2013-12-25	13357.0	2729	139
2013-12-26	5979.5	1358	99
2013-12-27	9390.85	1810	125
2013-12-28	8173.0	1782	137
2013-12-29	12026.6	1574	146
2013-12-30	10032.95	1689	127
2013-12-31	12409.45	2185	140
2014-01-01	11313.2	1890	124
2014-01-02	8560.75	1839	111
2014-01-03	7496.5	1511	112
2014-01-04	9935.7	1956	131
2014-01-05	10139.35	1787	129
2014-01-06	10177.8	2094	151
2014-01-07	12199.55	2247	156
2014-01-08	9576.85	1739	133
2014-01-09	15252.8	1695	131
2014-01-10	8375.1	1418	131
2014-01-11	10592.05	1945	134
2014-01-12	17896.2	2046	147
2014-01-13	10320.1	1777	149
2014-01-14	14344.25	2364	165
2014-01-15	11896.4	1739	133
2014-01-16	10607.7	1842	138
2014-01-17	8401.2	1421	124
2014-01-18	17639.45	2223	147
2014-01-19	14070.1	2346	156
2014-01-20	10607.2	2085	144
2014-01-21	16122.15	2106	155
2014-01-22	26434.4	1845	136
2014-01-23	29034.0	1898	146
2014-01-24	16524.6	1585	120
2014-01-25	12047.1	1760	141
2014-01-26	15855.6	3274	207
2014-01-27	7052.95	2144	149
2014-01-28	9591.55	2715	171
2014-01-29	9441.75	2820	159
2014-01-30	10653.9	2880	172
2014-01-31	8232.4	2476	168
2014-02-01	308.5	158	19
2014-02-02	5985.85	1136	145
2014-02-08	52.6	12	9
2014-04-04	1.5	3	3
2014-05-25	88.0	26	6
2014-07-20	2933.5	303	58
2014-08-09	4.0	2	2
2014-09-25	588.5	76	27
2014-10-21	1.0	1	1
