	PMG2	REC	MT_TOT	IDC	MT_TOT_TOT	IDC_TOT	PCT_MT	PCT_IDC
0	1	2	290040.3	4	1769646.1	799	16.3897346481	0.500625782228
1	1	3	268166.7	4	1769646.1	799	15.153690899	0.500625782228
2	2	1	24163.0	1	1769646.1	799	1.36541424865	0.125156445557
3	2	2	445933.2	25	1769646.1	799	25.1990044789	3.12891113892
4	2	3	137517.3	6	1769646.1	799	7.77089272256	0.750938673342
5	3	1	23759.5	8	1769646.1	799	1.34261307953	1.00125156446
6	3	2	370843.75	98	1769646.1	799	20.9558142727	12.2653316646
7	3	3	45679.8	13	1769646.1	799	2.58129577434	1.62703379224
8	3	4	8680.6	1	1769646.1	799	0.490527456309	0.125156445557
9	4	1	30370.35	165	1769646.1	799	1.71618212252	20.6508135169
10	4	2	107276.85	414	1769646.1	799	6.06205105077	51.8147684606
11	4	3	17214.75	60	1769646.1	799	0.972779246653	7.50938673342
