	KEY_x	KEY2_1_x	KEY2_x	MT_x	MT2_x	IDC_x	KEYN1_x	KEY_y	KEY2_1_y	KEY2_y	MT_y	MT2_y	IDC_y	KEYN1_y	DIF_IDC	DIF_MT	DIF_MT2	PCT_IDC	PCT_MT	PCT_MT2
0	2013-01-01	24145	24157	9422.4	2690	52	2012-01-01													
1	2013-02-01	24146	24158	11087.3	3128	71	2012-02-01													
2	2013-03-01	24147	24159	49261.45	12029	132	2012-03-01													
3	2013-04-01	24148	24160	56767.95	12111	128	2012-04-01													
4	2013-05-01	24149	24161	93684.55	18415	140	2012-05-01													
5	2013-06-01	24150	24162	129818.25	23815	175	2012-06-01													
6	2013-07-01	24151	24163	143841.2	21891	196	2012-07-01													
7	2013-08-01	24152	24164	144208.25	26839	217	2012-08-01													
8	2013-09-01	24153	24165	129512.45	24557	203	2012-09-01													
9	2013-10-01	24154	24166	123054.1	26172	224	2012-10-01													
10	2013-11-01	24155	24167	203681.45	36667	236	2012-11-01													
11	2013-12-01	24156	24168	800846.65	47027	343	2012-12-01													
12	2014-01-01	24157	24169	492336.65	63517	509	2013-01-01	2013-01-01	24145.0	24157.0	9422.4	2690.0	52.0	2012-01-01	457.0	482914.25	60827.0	8.78846153846	51.2517246137	22.612267658
13	2014-02-01	24158	24170	635378.0	82320	690	2013-02-01	2013-02-01	24146.0	24158.0	11087.3	3128.0	71.0	2012-02-01	619.0	624290.7	79192.0	8.71830985915	56.3068285335	25.3171355499
14	2014-03-01	24159	24171	578210.95	80949	625	2013-03-01	2013-03-01	24147.0	24159.0	49261.45	12029.0	132.0	2012-03-01	493.0	528949.5	68920.0	3.73484848485	10.737595016	5.72948707291
15	2014-04-01	24160	24172	439754.35	74818	562	2013-04-01	2013-04-01	24148.0	24160.0	56767.95	12111.0	128.0	2012-04-01	434.0	382986.4	62707.0	3.390625	6.74652510792	5.17768970358
16	2014-05-01	24161	24173	413559.65	81448	527	2013-05-01	2013-05-01	24149.0	24161.0	93684.55	18415.0	140.0	2012-05-01	387.0	319875.1	63033.0	2.76428571429	3.41438476248	3.422916101
17	2014-06-01	24162	24174	386475.55	82264	639	2013-06-01	2013-06-01	24150.0	24162.0	129818.25	23815.0	175.0	2012-06-01	464.0	256657.3	58449.0	2.65142857143	1.97705099245	2.45429351249
18	2014-07-01	24163	24175	406777.55	88468	605	2013-07-01	2013-07-01	24151.0	24163.0	143841.2	21891.0	196.0	2012-07-01	409.0	262936.35	66577.0	2.08673469388	1.82796271166	3.04129550957
19	2014-08-01	24164	24176	390878.15	90863	578	2013-08-01	2013-08-01	24152.0	24164.0	144208.25	26839.0	217.0	2012-08-01	361.0	246669.9	64024.0	1.66359447005	1.71051170789	2.38548381087
20	2014-09-01	24165	24177	444030.85	84650	543	2013-09-01	2013-09-01	24153.0	24165.0	129512.45	24557.0	203.0	2012-09-01	340.0	314518.4	60093.0	1.67487684729	2.42848004188	2.44708229833
21	2014-10-01	24166	24178	533560.85	89692	596	2013-10-01	2013-10-01	24154.0	24166.0	123054.1	26172.0	224.0	2012-10-01	372.0	410506.75	63520.0	1.66071428571	3.33598596065	2.42702124408
22	2014-11-01	24167	24179	506182.3	66188	535	2013-11-01	2013-11-01	24155.0	24167.0	203681.45	36667.0	236.0	2012-11-01	299.0	302500.85	29521.0	1.26694915254	1.48516642041	0.805110862629
