,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
0,0,77,144.5,164,2014-06-01,2013-02-01,24174,24158,,30.0,6.5,,15.0,,,,,16.5,11.0,22.0,24.0,7.0,7.0,2.5,2.0,1.0,,,,,,1.5,2.0,,70.0,15.0,55.0,1.0,4. P,4,3,5,51.5,36.5
1,1,79,3165.7,360,2014-10-01,2013-01-01,24178,24157,37.5,643.5,937.8,132.7,,,,,,5.5,10.0,1124.0,195.2,28.0,21.0,0.5,4.0,,2.0,,,24.0,,1.5,37.5,28.0,164.0,1778.0,1117.0,39.7,3. M,3,4,1,1618.8,37.5
2,2,83,7.6,6,2013-10-01,2013-04-01,24166,24160,,,,2.5,,,1.0,,,4.1,,,,,,,,,,,,,,,,,1.0,0.5,4.0,2.1,4. P,4,1,13,2.5,2.5
3,3,89,631.5,1046,2014-10-01,2013-03-01,24178,24159,,,2.0,2.5,1.5,2.0,2.0,,,24.5,45.0,51.5,67.0,23.0,309.5,86.5,2.0,,3.0,8.5,,1.0,,4.0,2.5,,569.5,7.0,46.5,2.0,4. P,4,4,1,8.0,4.5
4,4,90,432.5,210,2014-06-01,2013-01-01,24174,24157,39.5,9.5,1.0,21.5,51.5,23.0,,7.0,46.5,33.5,69.5,58.5,40.0,15.0,1.0,,4.0,11.5,,,,,,118.0,16.5,42.5,214.0,30.5,11.0,,4. P,4,3,5,50.0,44.5
5,5,93,3787.0,759,2014-07-01,2013-05-01,24175,24161,,,,,96.0,183.5,87.0,134.0,582.5,346.5,163.0,711.0,760.0,202.5,68.0,146.0,163.0,129.0,15.0,,,,,160.0,12.5,13.0,2758.0,405.5,431.0,7.0,3. M,3,3,4,433.5,147.0
6,6,95,3405.5,1190,2014-11-01,2013-01-01,24179,24157,403.5,261.0,229.5,24.5,6.0,108.5,272.0,,,,40.5,,211.5,425.0,148.5,,120.5,,,166.5,182.5,632.5,173.0,101.0,1622.0,172.0,293.0,49.0,1153.0,15.5,3. M,3,4,0,894.0,403.5
7,7,96,541.5,126,2014-11-01,2013-01-01,24179,24157,73.5,87.5,73.0,15.5,30.0,17.5,49.5,31.5,,40.0,63.5,11.5,18.5,7.5,,,12.0,7.5,,,,,3.0,51.0,272.5,103.5,65.0,2.5,12.5,34.5,4. P,4,4,0,234.0,73.5
8,8,102,24751.9,852,2014-07-01,2013-02-01,24175,24158,,49.5,940.5,1090.0,784.0,1647.0,10235.5,5365.5,267.5,400.0,,282.0,2816.5,335.0,434.0,50.0,,,54.9,,,,,619.4,308.0,115.0,22166.5,1448.0,51.0,44.0,2. G,2,3,4,2655.0,210.0
9,9,103,7198.9,3596,2014-11-01,2013-01-01,24179,24157,210.0,197.0,1026.0,44.0,141.0,136.0,81.5,54.0,130.0,304.5,431.5,809.0,381.5,305.0,187.0,231.5,384.5,156.9,54.5,716.0,891.0,244.0,82.5,456.4,836.0,5.0,4189.5,1338.5,121.5,252.0,3. M,3,4,0,1433.0,210.0
10,10,104,2579.0,584,2014-11-01,2013-11-01,24179,24167,,,,,,,,,,,387.0,645.5,586.0,87.5,20.0,,110.5,118.0,141.5,318.0,50.0,60.0,55.0,354.5,5.0,,2190.5,15.5,13.5,,3. M,3,4,0,1706.0,827.5
11,11,105,6223.5,897,2014-11-01,2013-01-01,24179,24157,18.0,2.0,285.5,28.0,198.5,965.0,628.5,783.5,688.5,445.0,407.5,382.5,120.5,131.5,374.0,38.5,20.0,251.5,50.0,49.5,122.0,118.5,115.0,267.0,1770.0,895.0,2720.0,66.0,432.5,73.0,3. M,3,4,0,333.5,20.0
12,12,106,6.5,3,2014-09-01,2013-02-01,24177,24158,,3.0,,,,,,,,,,1.0,,,,,,,,,2.5,,,,2.5,,4.0,,,,4. P,4,3,2,3.0,3.0
13,13,133,5569.0,972,2014-11-01,2013-01-01,24179,24157,135.5,86.0,619.0,149.5,564.7,232.5,20.3,318.0,693.0,169.5,270.0,239.0,362.0,57.0,61.5,120.0,15.0,6.0,1.5,54.5,458.0,598.0,338.5,66.2,2112.3,23.0,76.5,497.5,1304.5,1489.0,3. M,3,4,0,840.5,135.5
14,14,147,5156.5,7921,2014-02-01,2013-01-01,24170,24157,231.0,224.5,352.0,246.0,195.5,496.0,363.0,530.0,322.5,445.5,526.5,532.0,458.0,234.0,,,,,,,,,,351.5,360.0,,3843.5,509.5,92.0,,3. M,3,2,9,807.5,231.0
15,15,151,9518.0,501,2014-10-01,2013-01-01,24178,24157,50.0,,132.0,,,15.0,100.0,734.5,365.0,110.0,94.5,138.0,683.0,100.0,,173.0,36.0,419.0,2127.0,1904.0,1837.0,500.0,,215.0,1.5,,9157.5,144.0,,,3. M,3,4,1,182.0,50.0
16,16,152,5089.5,1360,2014-11-01,2013-01-01,24179,24157,464.5,347.0,249.0,62.5,187.0,329.5,145.0,181.5,104.5,180.5,213.0,218.5,169.0,113.5,130.0,204.0,247.5,132.0,109.0,210.5,153.5,446.0,492.0,470.0,1871.0,626.5,1819.0,38.5,249.5,15.0,3. M,3,4,0,1060.5,464.5
17,17,153,115.0,99,2013-10-01,2013-01-01,24166,24157,58.0,28.0,,16.0,,,,,11.5,1.5,,,,,,,,,,,,,,106.0,5.0,,4.0,,,,4. P,4,1,13,86.0,58.0
18,18,160,62.0,29,2014-10-01,2013-04-01,24178,24160,,,,18.5,,11.0,,4.0,20.5,,,,,3.0,,,,,,,,5.0,,39.0,15.0,,8.0,,,,4. P,4,4,1,29.5,18.5
19,19,168,18191.8,3932,2014-10-01,2013-01-01,24178,24157,54.5,55.4,122.0,33.5,359.1,805.0,1108.5,2076.5,992.0,1179.5,829.5,102.0,2217.5,866.0,2566.0,2061.5,406.8,979.0,220.5,774.5,210.0,172.5,,1306.3,2350.5,,13314.0,854.5,287.0,79.5,2. G,2,4,1,231.9,54.5
20,20,169,1214.5,639,2014-10-01,2013-08-01,24178,24164,,,,,,,,157.8,235.5,14.0,,,,,,,,163.2,260.5,359.5,19.0,5.0,,303.8,224.7,,242.5,266.5,170.0,7.0,4. P,4,4,1,407.3,354.8
21,21,172,12309.6,3579,2014-11-01,2013-01-01,24179,24157,270.5,,265.5,269.5,393.5,590.0,491.5,528.2,584.9,1361.5,893.0,979.5,1281.0,1422.5,795.5,446.0,511.5,155.5,,178.5,90.5,300.0,501.0,561.9,4383.7,653.5,2979.0,400.0,2060.0,1271.5,2. G,2,4,0,576.5,270.5
22,22,175,14336.5,745,2014-02-01,2013-03-01,24170,24159,,,162.0,43.5,431.0,1073.5,1069.0,1225.5,487.5,583.5,4978.5,2504.0,1210.0,568.5,,,,,,,,,,1515.0,3590.0,380.5,4902.0,1605.0,2344.0,,2. G,2,2,9,929.0,205.5
23,23,181,21310.5,747,2014-11-01,2013-09-01,24179,24165,,,,,,,,,1176.5,572.0,4343.0,5070.0,1978.0,1439.0,,,,,461.0,251.0,1082.0,4347.5,590.5,100.0,,,15583.5,4921.0,706.0,,2. G,2,4,0,11161.5,1316.5
24,24,188,4106.0,1193,2014-11-01,2013-02-01,24179,24158,,54.0,258.0,189.0,212.0,184.0,192.0,161.0,167.5,127.0,136.0,325.0,364.0,154.0,87.0,53.0,31.0,105.5,221.5,294.0,554.5,144.5,91.5,11.0,,,765.0,110.0,3219.5,0.5,3. M,3,4,0,659.0,250.0
25,25,194,2184.5,775,2014-11-01,2013-01-01,24179,24157,37.5,46.5,78.5,74.5,149.5,108.0,156.0,74.0,30.0,76.0,48.5,129.0,272.5,238.5,45.0,,63.5,119.0,204.5,55.0,132.5,20.5,25.5,6.0,17.0,54.5,17.0,384.0,1546.5,159.5,3. M,3,4,0,162.5,37.5
26,26,202,71.0,32,2013-09-01,2013-03-01,24165,24159,,,25.0,,,,,,46.0,,,,,,,,,,,,,,,42.0,0.5,,24.0,4.5,,,4. P,4,1,14,25.0,25.0
27,27,211,326.9,342,2014-11-01,2013-05-01,24179,24161,,,,,96.8,25.0,5.0,55.5,6.5,,,,,15.0,,,,,,6.0,30.5,,86.6,115.4,2.5,0.5,165.5,24.0,16.5,2.5,4. P,4,4,0,126.8,96.8
28,28,221,3.0,1,2013-02-01,2013-02-01,24158,24158,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,4. P,4,1,21,3.0,3.0
29,29,227,55479.3,1181,2014-11-01,2013-01-01,24179,24157,4.5,48.0,716.1,380.5,2292.5,3169.0,12.0,904.0,39.5,1357.0,2125.0,2117.5,809.5,13.0,1288.0,2111.0,1011.7,1088.0,3019.5,3246.5,1786.0,23519.0,4421.5,7654.3,1129.0,50.5,44679.5,1691.5,274.5,,1. TG,1,4,0,1149.1,52.5
30,30,231,97.0,17,2013-07-01,2013-02-01,24163,24158,,25.5,30.0,11.5,,15.0,15.0,,,,,,,,,,,,,,,,,21.0,66.0,10.0,,,,,4. P,4,1,16,67.0,25.5
31,31,247,1081.0,1087,2014-06-01,2013-03-01,24174,24159,,,19.0,,,,62.0,164.0,,,,38.0,103.0,329.0,53.0,20.0,,293.0,,,,,,3.0,1.0,,558.0,155.5,297.0,66.5,4. P,4,3,5,19.0,19.0
32,32,249,616.5,1191,2014-11-01,2013-09-01,24179,24165,,,,,,,,,15.0,1.5,14.5,3.0,,,,36.5,92.5,85.0,129.0,72.0,64.5,64.5,38.5,156.5,18.5,,353.5,75.5,12.5,,4. P,4,4,0,33.5,15.0
33,33,250,869.0,193,2014-02-01,2013-02-01,24170,24158,,102.0,60.0,,,,,,,48.5,186.0,423.0,38.5,11.0,,,,,,,,,,18.0,5.0,,341.0,193.5,273.0,38.5,4. P,4,2,9,162.0,162.0
34,34,269,45959.8,22337,2014-11-01,2013-01-01,24179,24157,1373.5,2985.0,3627.5,3160.5,3186.0,3987.25,2528.0,3067.25,2321.75,2352.5,1565.0,1522.5,1656.55,2216.75,1111.0,180.0,1011.5,1927.75,1714.5,1174.0,1213.5,999.0,1078.5,9276.0,11809.0,261.0,11730.0,3170.5,7490.0,2223.3,2. G,2,4,0,7986.0,1373.5
35,35,271,8039.5,850,2014-11-01,2014-01-01,24179,24169,,,,,,,,,,,,,208.5,421.5,720.0,100.0,832.0,468.5,869.0,1083.5,696.5,1475.5,1164.5,100.0,224.5,,6121.0,734.5,852.5,7.0,3. M,3,4,0,1350.0,630.0
36,36,273,821.0,18,2013-07-01,2013-03-01,24163,24159,,,496.0,,,225.0,100.0,,,,,,,,,,,,,,,,,,,,802.0,14.0,5.0,,4. P,4,1,16,496.0,496.0
37,37,275,1334.2,409,2014-11-01,2013-01-01,24179,24157,107.0,38.0,121.0,64.7,9.5,71.5,,67.0,63.0,43.5,18.0,84.0,18.0,115.5,40.0,84.0,65.0,24.5,53.5,143.5,19.0,37.5,46.5,124.0,238.0,40.0,405.0,1.5,377.0,148.7,4. P,4,4,0,266.0,107.0
38,38,279,1914.0,2538,2014-11-01,2013-03-01,24179,24159,,,22.0,15.0,62.5,173.5,121.5,191.0,156.0,73.5,70.5,47.5,51.0,106.0,24.5,36.5,78.0,143.0,117.0,79.5,152.0,95.0,98.5,132.0,,,1779.5,1.0,1.5,,3. M,3,4,0,171.5,27.0
39,39,302,1800.5,540,2014-04-01,2013-04-01,24172,24160,,,,115.0,269.0,239.0,173.0,169.5,21.0,66.0,365.0,160.5,106.5,,15.0,101.0,,,,,,,,262.0,,,1538.5,,,,3. M,3,2,7,623.0,186.0
40,40,304,647.0,368,2014-08-01,2013-05-01,24176,24161,,,,,35.0,58.0,13.0,62.0,,5.0,228.5,,1.0,126.5,64.5,,,7.5,,46.0,,,,3.0,3.0,,438.0,142.0,61.0,,4. P,4,3,3,122.0,65.5
41,41,306,26.0,4,2013-07-01,2013-07-01,24163,24163,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,26.0,4. P,4,1,16,26.0,26.0
42,42,310,96.2,50,2013-03-01,2013-01-01,24159,24157,1.5,46.2,48.5,,,,,,,,,,,,,,,,,,,,,,,7.0,39.0,6.0,44.2,,4. P,4,1,20,96.2,1.5
43,43,320,493.85,395,2014-10-01,2013-02-01,24178,24158,,33.5,,36.0,,97.0,8.6,,,28.0,23.5,9.0,,21.0,,24.0,104.0,70.25,17.5,,,21.5,,41.6,2.5,3.5,3.0,261.5,156.5,25.25,4. P,4,4,1,69.5,33.5
44,44,335,100.6,76,2014-09-01,2014-04-01,24177,24172,,,,,,,,,,,,,,,,75.5,,,,,25.1,,,,,1.0,5.0,32.0,52.0,10.6,4. P,4,3,2,75.5,75.5
45,45,341,20.0,3,2014-10-01,2013-07-01,24178,24163,,,,,,,10.0,,,,,,,,,,,,5.0,,,5.0,,,,,,10.0,,10.0,4. P,4,4,1,10.0,10.0
46,46,350,128.5,44,2013-05-01,2013-02-01,24161,24158,,19.5,107.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,69.0,23.5,35.5,0.5,4. P,4,1,18,128.5,97.0
47,47,354,3071.0,1254,2014-11-01,2013-06-01,24179,24162,,,,,,35.0,28.0,411.5,336.5,227.5,243.0,49.5,597.5,110.5,226.0,49.0,190.0,91.0,80.0,294.5,2.0,32.0,67.5,40.0,605.5,21.0,59.0,337.0,1733.5,275.0,3. M,3,4,0,376.0,35.0
48,48,374,341.35,161,2014-01-01,2013-03-01,24169,24159,,,15.0,,,80.0,31.85,,199.5,,,,15.0,,,,,,,,,,,,4.0,0.5,,0.5,79.5,256.85,4. P,4,2,10,15.0,15.0
49,49,378,1208.0,542,2013-10-01,2013-03-01,24166,24159,,,1045.0,,,,,,,163.0,,,,,,,,,,,,,,10.0,,,1177.0,21.0,,,4. P,4,1,13,1045.0,1045.0
50,50,379,340.15,121,2014-04-01,2013-09-01,24172,24165,,,,,,,,,50.0,,,,,,245.55,44.6,,,,,,,,,,,227.0,42.5,42.0,28.65,4. P,4,2,7,50.0,50.0
51,51,385,583.5,289,2014-11-01,2013-02-01,24179,24158,,1.5,19.5,16.5,8.0,2.5,14.0,18.5,,,,13.0,9.0,23.5,205.5,134.0,60.0,17.0,18.0,13.5,3.0,4.5,2.0,13.0,,,160.0,410.5,,,4. P,4,4,0,44.5,19.5
52,52,398,5.0,4,2013-03-01,2013-02-01,24159,24158,,4.5,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,4.5,,,,4. P,4,1,20,5.0,5.0
53,53,400,61.5,62,2014-10-01,2014-08-01,24178,24176,,,,,,,,,,,,,,,,,,,,16.5,30.0,15.0,,,5.0,,21.0,2.0,29.5,4.0,4. P,4,4,1,61.5,41.5
54,54,406,217.0,53,2013-04-01,2013-03-01,24160,24159,,,178.0,39.0,,,,,,,,,,,,,,,,,,,,,,10.5,,1.5,169.5,35.5,4. P,4,1,19,217.0,215.0
55,55,414,373.1,72,2013-07-01,2013-01-01,24163,24157,253.2,9.0,,41.5,,30.0,39.4,,,,,,,,,,,,,,,,,61.1,255.5,,8.0,37.5,10.5,0.5,4. P,4,1,16,262.2,253.2
56,56,425,135.0,135,2014-03-01,2013-07-01,24171,24163,,,,,,,41.0,7.0,,,,,,,87.0,,,,,,,,,7.0,,,84.5,39.5,4.0,,4. P,4,2,8,48.0,48.0
57,57,430,2993.5,227,2014-05-01,2013-02-01,24173,24158,,10.0,10.0,,,,,251.0,429.0,352.5,355.5,981.0,604.0,,,,0.5,,,,,,,455.0,14.5,,2388.5,114.5,21.0,,3. M,3,2,6,20.0,20.0
58,58,469,202.0,34,2014-04-01,2013-01-01,24172,24157,23.0,90.0,,,,,15.0,10.0,6.0,,,45.0,7.0,,,6.0,,,,,,,,144.0,,,58.0,,,,4. P,4,2,7,113.0,113.0
59,59,471,410.5,141,2014-03-01,2013-02-01,24171,24158,,25.0,16.5,26.0,3.0,1.5,,58.5,94.5,7.0,12.0,50.5,64.5,42.0,9.5,,,,,,,,,53.0,77.0,4.0,136.5,40.0,43.0,57.0,4. P,4,2,8,67.5,41.5
60,60,491,10212.5,1857,2014-09-01,2013-01-01,24177,24157,50.0,66.0,210.0,185.0,,,,,,,,320.0,814.0,1188.0,1418.0,2404.0,1738.5,457.0,367.5,404.5,590.0,,,181.0,,,10017.5,13.0,1.0,,3. M,3,3,2,511.0,116.0
61,61,507,214.0,205,2014-11-01,2013-02-01,24179,24158,,5.0,5.0,4.5,0.5,,6.5,11.0,12.0,4.5,4.0,8.5,39.0,38.0,20.5,12.5,11.5,7.5,3.5,7.0,3.0,7.0,3.0,,1.0,,25.0,10.5,156.5,21.0,4. P,4,4,0,15.0,10.0
62,62,508,262.3,404,2014-08-01,2013-07-01,24176,24163,,,,,,,22.5,63.0,55.3,,,63.5,38.0,,,,,,,20.0,,,,23.8,5.5,,134.0,37.5,49.5,12.0,4. P,4,3,3,140.8,22.5
