	KEYMIN2	DIF	MT	IDC	MT_TOT	IDC_TOT	IDC_PCT	annee	mois	Valeur	Valeur_tot	Date	Date2
0	24157	0	9422.4	52	199927.95	52	1.0	2013	1	181.2	181.2	2013 - 1	24157
1	24157	1	9818.8	39	199927.95	52	0.75	2013	2	251.764102564	188.823076923	2013 - 1	24158
2	24157	2	16880.55	35	199927.95	52	0.673076923077	2013	3	482.301428571	324.625961538	2013 - 1	24159
3	24157	3	10708.85	29	199927.95	52	0.557692307692	2013	4	369.270689655	205.939423077	2013 - 1	24160
4	24157	4	14904.05	30	199927.95	52	0.576923076923	2013	5	496.801666667	286.616346154	2013 - 1	24161
5	24157	5	19246.45	32	199927.95	52	0.615384615385	2013	6	601.4515625	370.124038462	2013 - 1	24162
6	24157	6	12915.55	31	199927.95	52	0.596153846154	2013	7	416.630645161	248.375961538	2013 - 1	24163
7	24157	7	17629.55	30	199927.95	52	0.576923076923	2013	8	587.651666667	339.029807692	2013 - 1	24164
8	24157	8	13727.9	28	199927.95	52	0.538461538462	2013	9	490.282142857	263.998076923	2013 - 1	24165
9	24157	9	16135.75	31	199927.95	52	0.596153846154	2013	10	520.508064516	310.302884615	2013 - 1	24166
10	24157	10	20290.05	31	199927.95	52	0.596153846154	2013	11	654.517741935	390.193269231	2013 - 1	24167
11	24157	11	20130.7	31	199927.95	52	0.596153846154	2014	0	649.377419355	387.128846154	2013 - 1	24168
12	24157	12	17923.85	33	199927.95	52	0.634615384615	2014	1	543.146969697	344.689423077	2013 - 1	24169
13	24157	13	183.0	10	199927.95	52	0.192307692308	2014	2	18.3	3.51923076923	2013 - 1	24170
14	24157	15	0.5	1	199927.95	52	0.0192307692308	2014	4	0.5	0.00961538461538	2013 - 1	24172
15	24157	18	6.5	1	199927.95	52	0.0192307692308	2014	7	6.5	0.125	2013 - 1	24175
16	24157	20	3.5	1	199927.95	52	0.0192307692308	2014	9	3.5	0.0673076923077	2013 - 1	24177
17	24158	0	1268.5	32	41805.2	32	1.0	2013	2	39.640625	39.640625	2013 - 2	24158
18	24158	1	2633.0	22	41805.2	32	0.6875	2013	3	119.681818182	82.28125	2013 - 2	24159
19	24158	2	1895.0	16	41805.2	32	0.5	2013	4	118.4375	59.21875	2013 - 2	24160
20	24158	3	1438.0	10	41805.2	32	0.3125	2013	5	143.8	44.9375	2013 - 2	24161
21	24158	4	2448.5	12	41805.2	32	0.375	2013	6	204.041666667	76.515625	2013 - 2	24162
22	24158	5	10809.2	10	41805.2	32	0.3125	2013	7	1080.92	337.7875	2013 - 2	24163
23	24158	6	6369.0	11	41805.2	32	0.34375	2013	8	579.0	199.03125	2013 - 2	24164
24	24158	7	1447.5	10	41805.2	32	0.3125	2013	9	144.75	45.234375	2013 - 2	24165
25	24158	8	1651.0	14	41805.2	32	0.4375	2013	10	117.928571429	51.59375	2013 - 2	24166
26	24158	9	1748.5	12	41805.2	32	0.375	2013	11	145.708333333	54.640625	2013 - 2	24167
27	24158	10	3923.5	16	41805.2	32	0.5	2014	0	245.21875	122.609375	2013 - 2	24168
28	24158	11	6088.0	14	41805.2	32	0.4375	2014	1	434.857142857	190.25	2013 - 2	24169
29	24158	12	83.5	3	41805.2	32	0.09375	2014	2	27.8333333333	2.609375	2013 - 2	24170
30	24158	19	2.0	1	41805.2	32	0.03125	2014	9	2.0	0.0625	2013 - 2	24177
31	24159	0	29747.9	75	393821.05	75	1.0	2013	3	396.638666667	396.638666667	2013 - 3	24159
32	24159	1	32746.15	49	393821.05	75	0.653333333333	2013	4	668.28877551	436.615333333	2013 - 3	24160
33	24159	2	35167.6	38	393821.05	75	0.506666666667	2013	5	925.463157895	468.901333333	2013 - 3	24161
34	24159	3	48450.65	42	393821.05	75	0.56	2013	6	1153.58690476	646.008666667	2013 - 3	24162
35	24159	4	44382.65	35	393821.05	75	0.466666666667	2013	7	1268.07571429	591.768666667	2013 - 3	24163
36	24159	5	35816.2	35	393821.05	75	0.466666666667	2013	8	1023.32	477.549333333	2013 - 3	24164
37	24159	6	33844.65	32	393821.05	75	0.426666666667	2013	9	1057.6453125	451.262	2013 - 3	24165
38	24159	7	25844.6	39	393821.05	75	0.52	2013	10	662.682051282	344.594666667	2013 - 3	24166
39	24159	8	32927.55	32	393821.05	75	0.426666666667	2013	11	1028.9859375	439.034	2013 - 3	24167
40	24159	9	31417.5	36	393821.05	75	0.48	2014	0	872.708333333	418.9	2013 - 3	24168
41	24159	10	43135.6	37	393821.05	75	0.493333333333	2014	1	1165.82702703	575.141333333	2013 - 3	24169
42	24159	11	332.0	11	393821.05	75	0.146666666667	2014	2	30.1818181818	4.42666666667	2013 - 3	24170
43	24159	16	1.5	2	393821.05	75	0.0266666666667	2014	7	0.75	0.02	2013 - 3	24175
44	24159	17	3.0	1	393821.05	75	0.0133333333333	2014	8	3.0	0.04	2013 - 3	24176
45	24159	18	2.5	1	393821.05	75	0.0133333333333	2014	9	2.5	0.0333333333333	2013 - 3	24177
46	24159	19	1.0	1	393821.05	75	0.0133333333333	2014	10	1.0	0.0133333333333	2013 - 3	24178
47	24160	0	11417.95	34	202879.9	34	1.0	2013	4	335.822058824	335.822058824	2013 - 4	24160
48	24160	1	23998.6	22	202879.9	34	0.647058823529	2013	5	1090.84545455	705.841176471	2013 - 4	24161
49	24160	2	18683.4	22	202879.9	34	0.647058823529	2013	6	849.245454545	549.511764706	2013 - 4	24162
50	24160	3	21621.3	19	202879.9	34	0.558823529412	2013	7	1137.96315789	635.920588235	2013 - 4	24163
51	24160	4	25089.85	20	202879.9	34	0.588235294118	2013	8	1254.4925	737.936764706	2013 - 4	24164
52	24160	5	16499.85	17	202879.9	34	0.5	2013	9	970.579411765	485.289705882	2013 - 4	24165
53	24160	6	14987.9	17	202879.9	34	0.5	2013	10	881.641176471	440.820588235	2013 - 4	24166
54	24160	7	19912.5	17	202879.9	34	0.5	2013	11	1171.32352941	585.661764706	2013 - 4	24167
55	24160	8	28031.0	18	202879.9	34	0.529411764706	2014	0	1557.27777778	824.441176471	2013 - 4	24168
56	24160	9	21969.05	22	202879.9	34	0.647058823529	2014	1	998.593181818	646.148529412	2013 - 4	24169
57	24160	10	165.5	7	202879.9	34	0.205882352941	2014	2	23.6428571429	4.86764705882	2013 - 4	24170
58	24160	15	503.0	2	202879.9	34	0.0588235294118	2014	7	251.5	14.7941176471	2013 - 4	24175
59	24161	0	18176.3	40	179403.15	40	1.0	2013	5	454.4075	454.4075	2013 - 5	24161
60	24161	1	33208.35	36	179403.15	40	0.9	2013	6	922.454166667	830.20875	2013 - 5	24162
61	24161	2	30737.65	33	179403.15	40	0.825	2013	7	931.443939394	768.44125	2013 - 5	24163
62	24161	3	23858.6	27	179403.15	40	0.675	2013	8	883.651851852	596.465	2013 - 5	24164
63	24161	4	12083.5	19	179403.15	40	0.475	2013	9	635.973684211	302.0875	2013 - 5	24165
64	24161	5	11447.2	21	179403.15	40	0.525	2013	10	545.104761905	286.18	2013 - 5	24166
65	24161	6	14925.5	20	179403.15	40	0.5	2013	11	746.275	373.1375	2013 - 5	24167
66	24161	7	17826.5	23	179403.15	40	0.575	2014	0	775.065217391	445.6625	2013 - 5	24168
67	24161	8	16341.75	27	179403.15	40	0.675	2014	1	605.25	408.54375	2013 - 5	24169
68	24161	9	565.3	12	179403.15	40	0.3	2014	2	47.1083333333	14.1325	2013 - 5	24170
69	24161	12	57.0	1	179403.15	40	0.025	2014	5	57.0	1.425	2013 - 5	24173
70	24161	14	157.5	4	179403.15	40	0.1	2014	7	39.375	3.9375	2013 - 5	24175
71	24161	16	18.0	4	179403.15	40	0.1	2014	9	4.5	0.45	2013 - 5	24177
72	24162	0	5480.9	31	54143.15	31	1.0	2013	6	176.803225806	176.803225806	2013 - 6	24162
73	24162	1	10042.75	24	54143.15	31	0.774193548387	2013	7	418.447916667	323.959677419	2013 - 6	24163
74	24162	2	10950.7	22	54143.15	31	0.709677419355	2013	8	497.759090909	353.248387097	2013 - 6	24164
75	24162	3	6176.0	19	54143.15	31	0.612903225806	2013	9	325.052631579	199.225806452	2013 - 6	24165
76	24162	4	4317.5	16	54143.15	31	0.516129032258	2013	10	269.84375	139.274193548	2013 - 6	24166
77	24162	5	4813.5	15	54143.15	31	0.483870967742	2013	11	320.9	155.274193548	2013 - 6	24167
78	24162	6	5353.5	16	54143.15	31	0.516129032258	2014	0	334.59375	172.693548387	2013 - 6	24168
79	24162	7	6872.8	18	54143.15	31	0.58064516129	2014	1	381.822222222	221.703225806	2013 - 6	24169
80	24162	8	99.5	5	54143.15	31	0.161290322581	2014	2	19.9	3.20967741935	2013 - 6	24170
81	24162	13	17.0	1	54143.15	31	0.0322580645161	2014	7	17.0	0.548387096774	2013 - 6	24175
82	24162	15	19.0	3	54143.15	31	0.0967741935484	2014	9	6.33333333333	0.612903225806	2013 - 6	24177
83	24163	0	5832.1	44	37815.5	44	1.0	2013	7	132.547727273	132.547727273	2013 - 7	24163
84	24163	1	4267.95	29	37815.5	44	0.659090909091	2013	8	147.170689655	96.9988636364	2013 - 7	24164
85	24163	2	5540.8	17	37815.5	44	0.386363636364	2013	9	325.929411765	125.927272727	2013 - 7	24165
86	24163	3	5359.4	17	37815.5	44	0.386363636364	2013	10	315.258823529	121.804545455	2013 - 7	24166
87	24163	4	3748.75	16	37815.5	44	0.363636363636	2013	11	234.296875	85.1988636364	2013 - 7	24167
88	24163	5	6674.5	15	37815.5	44	0.340909090909	2014	0	444.966666667	151.693181818	2013 - 7	24168
89	24163	6	6172.0	15	37815.5	44	0.340909090909	2014	1	411.466666667	140.272727273	2013 - 7	24169
90	24163	7	199.5	7	37815.5	44	0.159090909091	2014	2	28.5	4.53409090909	2013 - 7	24170
91	24163	10	10.0	1	37815.5	44	0.0227272727273	2014	5	10.0	0.227272727273	2013 - 7	24173
92	24163	12	5.5	1	37815.5	44	0.0227272727273	2014	7	5.5	0.125	2013 - 7	24175
93	24163	14	5.0	1	37815.5	44	0.0227272727273	2014	9	5.0	0.113636363636	2013 - 7	24177
94	24164	0	20226.4	43	174043.9	43	1.0	2013	8	470.381395349	470.381395349	2013 - 8	24164
95	24164	1	28533.75	30	174043.9	43	0.697674418605	2013	9	951.125	663.575581395	2013 - 8	24165
96	24164	2	20202.25	25	174043.9	43	0.581395348837	2013	10	808.09	469.819767442	2013 - 8	24166
97	24164	3	26847.0	20	174043.9	43	0.46511627907	2013	11	1342.35	624.348837209	2013 - 8	24167
98	24164	4	29187.0	21	174043.9	43	0.488372093023	2014	0	1389.85714286	678.76744186	2013 - 8	24168
99	24164	5	47772.5	19	174043.9	43	0.441860465116	2014	1	2514.34210526	1110.98837209	2013 - 8	24169
100	24164	6	1033.5	9	174043.9	43	0.209302325581	2014	2	114.833333333	24.0348837209	2013 - 8	24170
101	24164	9	5.0	1	174043.9	43	0.0232558139535	2014	5	5.0	0.116279069767	2013 - 8	24173
102	24164	11	206.5	3	174043.9	43	0.0697674418605	2014	7	68.8333333333	4.8023255814	2013 - 8	24175
103	24164	13	30.0	1	174043.9	43	0.0232558139535	2014	9	30.0	0.697674418605	2013 - 8	24177
104	24165	0	7020.5	31	86532.5	31	1.0	2013	9	226.467741935	226.467741935	2013 - 9	24165
105	24165	1	19623.5	21	86532.5	31	0.677419354839	2013	10	934.452380952	633.016129032	2013 - 9	24166
106	24165	2	21685.0	18	86532.5	31	0.58064516129	2013	11	1204.72222222	699.516129032	2013 - 9	24167
107	24165	3	23451.5	17	86532.5	31	0.548387096774	2014	0	1379.5	756.5	2013 - 9	24168
108	24165	4	14613.0	16	86532.5	31	0.516129032258	2014	1	913.3125	471.387096774	2013 - 9	24169
109	24165	5	73.0	6	86532.5	31	0.193548387097	2014	2	12.1666666667	2.35483870968	2013 - 9	24170
110	24165	10	23.0	1	86532.5	31	0.0322580645161	2014	7	23.0	0.741935483871	2013 - 9	24175
111	24165	12	43.0	1	86532.5	31	0.0322580645161	2014	9	43.0	1.38709677419	2013 - 9	24177
112	24166	0	3485.0	23	14942.0	23	1.0	2013	10	151.52173913	151.52173913	2013 - 10	24166
113	24166	1	3757.0	12	14942.0	23	0.521739130435	2013	11	313.083333333	163.347826087	2013 - 10	24167
114	24166	2	4374.0	14	14942.0	23	0.608695652174	2014	0	312.428571429	190.173913043	2013 - 10	24168
115	24166	3	3240.0	14	14942.0	23	0.608695652174	2014	1	231.428571429	140.869565217	2013 - 10	24169
116	24166	4	74.0	4	14942.0	23	0.173913043478	2014	2	18.5	3.21739130435	2013 - 10	24170
117	24166	9	12.0	1	14942.0	23	0.0434782608696	2014	7	12.0	0.521739130435	2013 - 10	24175
118	24167	0	44646.1	43	220563.75	43	1.0	2013	11	1038.28139535	1038.28139535	2013 - 11	24167
119	24167	1	74561.5	36	220563.75	43	0.837209302326	2014	0	2071.15277778	1733.98837209	2013 - 11	24168
120	24167	2	99694.15	29	220563.75	43	0.674418604651	2014	1	3437.72931034	2318.46860465	2013 - 11	24169
121	24167	3	1657.0	10	220563.75	43	0.232558139535	2014	2	165.7	38.5348837209	2013 - 11	24170
