ID	DIF	IDC_TOT	IDC	MT	IDP
0	0	799	799	289627.85	GLOBAL
1	1	749	437	272074.8	GLOBAL
2	2	572	286	266278.9	GLOBAL
3	3	450	225	172810.3	GLOBAL
4	4	606	190	150849.8	GLOBAL
5	5	382	170	153152.4	GLOBAL
6	6	552	162	95896.1	GLOBAL
7	7	408	149	90934.45	GLOBAL
8	8	508	127	92792.2	GLOBAL
9	9	399	117	71858.6	GLOBAL
10	10	268	93	67547.65	GLOBAL
11	11	202	59	26757.2	GLOBAL
12	12	199	39	18112.85	GLOBAL
13	13	126	12	230.0	GLOBAL
14	14	84	5	162.5	GLOBAL
15	15	117	6	522.5	GLOBAL
16	16	115	6	19.5	GLOBAL
17	17	75	1	3.0	GLOBAL
18	18	127	2	9.0	GLOBAL
19	19	107	2	3.0	GLOBAL
20	20	52	1	3.5	GLOBAL
