	ID	IDC	MT_TOT	PMG	RECENCE
0	0	77	141.0	4. P	5
1	1	79	3098.7	3. M	1
2	2	83	7.6	4. P	13
3	3	89	625.0	4. P	1
4	4	90	255.5	4. P	5
5	5	93	3601.5	3. M	4
6	6	95	1510.5	4. P	0
7	7	96	114.5	4. P	0
8	8	102	23709.5	2. G	7
9	9	103	5901.5	3. M	0
10	10	104	2219.5	3. M	0
11	11	105	3291.5	3. M	0
12	12	106	4.0	4. P	11
13	13	133	3367.5	3. M	0
14	14	147	4445.0	3. M	9
15	15	151	9301.5	3. M	1
16	16	152	2122.0	3. M	0
17	17	153	4.0	4. P	19
18	18	160	8.0	4. P	1
19	19	168	14535.0	2. G	1
20	20	169	686.0	4. P	1
21	21	172	6710.5	3. M	0
22	22	175	8851.0	3. M	9
23	23	181	21210.5	2. G	0
24	24	188	4095.0	3. M	0
25	25	194	2107.0	3. M	0
26	26	202	28.5	4. P	14
27	27	211	208.5	4. P	0
28	28	221	3.0	4. P	21
29	29	227	46645.5	2. G	0
30	30	247	1077.0	4. P	5
31	31	249	441.5	4. P	0
32	32	250	846.0	4. P	9
33	33	269	24613.8	2. G	0
34	34	271	7715.0	3. M	0
35	35	273	821.0	4. P	16
36	36	275	932.2	4. P	0
37	37	279	1782.0	3. M	0
38	38	302	1538.5	4. P	7
39	39	304	641.0	4. P	3
40	40	306	26.0	4. P	16
41	41	310	89.2	4. P	20
42	42	320	446.25	4. P	1
43	43	335	99.6	4. P	2
44	44	341	20.0	4. P	1
45	45	350	128.5	4. P	18
46	46	354	2404.5	3. M	0
47	47	374	336.85	4. P	10
48	48	378	1198.0	4. P	13
49	49	379	340.15	4. P	7
50	50	385	570.5	4. P	0
51	51	398	4.5	4. P	21
52	52	400	56.5	4. P	1
53	53	406	206.5	4. P	19
54	54	414	56.5	4. P	17
55	55	425	128.0	4. P	8
56	56	430	2524.0	3. M	10
57	57	469	58.0	4. P	7
58	58	471	276.5	4. P	8
59	59	491	10031.5	3. M	2
60	60	507	213.0	4. P	0
61	61	508	233.0	4. P	3
62	62	522	35.5	4. P	13
63	63	529	764.5	4. P	0
64	64	533	2.5	4. P	13
65	65	534	330.0	4. P	16
66	66	566	1592.5	3. M	8
67	67	581	1015.5	4. P	0
68	68	583	399068.0	1. TG	7
69	69	592	29.5	4. P	15
70	70	638	129.0	4. P	1
71	71	642	122.5	4. P	1
