t_id;screen_name
923;_ConnorMahoney
1059;_DannyRose
1045;_DeclanRice
792;_OlivierGiroud_
876;_TheJoshuaMoore
875;10_kingy
723;1TomDavies
1093;21LVA
2786;23_Frog
905;29_JL
1753;33_augustin
1578;3gerardpique
1164;442Dean
845;67Kelechi
874;A_king16
551;A_Toure38
710;Aaron_Cresswell
900;AaronLennon12
970;AaronMooy
1038;AaronRamsdale98
1039;aaronramsey
880;ABC7Josh
746;abdoudoucoure16
88;Abdoul_Razzagui
66;ABlin27
1407;AchrafHakimi
2307;AcquahAfriyie20
518;AdamaSoumaoro23
897;AdamLegzdins
1102;AdamSmith912
1427;adnanjanuzaj
450;Adriien_Rabiiot
174;AElGhazi7
594;aguerosergiokun
240;AHunou
1482;aissamandi23
263;AKacaniklic
435;alassane_plea
297;AlbanLafont
599;AlderweireldTob
2423;ale_cerci_7
2672;Ale_Matri
1408;AlenHalilovic
158;alex_djiku
948;Alex_Macca23
1071;Alexis_Sanchez
10;AlexisAlegue
944;AlfieMawson
1566;Alfonsopedraza9
1004;AllanNyom
102;Alois_Confais
912;Alookman_
1497;AlvaroMedran
971;AlvaroMorata
1939;Amine_000
823;AnderHerrera
2341;andreabarzagli2
2753;andreapetagna
1776;AndreasBeck87
2064;AndreasLuthe
2445;andrecosta_3
798;AndreGray7
1422;andresiniesta8
1048;andrewrobertso5
1568;andrinhopereira
1131;andros_townsend
133;AndyDelort9
678;AndyTCarroll
1288;AngelCorrea32
461;AnthoJr7
935;AnthonyMartial
1138;anto_v25
1395;AntoGriezmann
1190;AntonioAdan13
2769;AP16Official
1689;ArdaTuran
2691;arekmilik9
23;AreolaOfficiel
2172;ArjenRobben
2596;ArmandoIzzo1
1988;aronjo20
939;ArthurMasuaku
653;ArturBoruc
2326;Asabob20
477;asaintmaximin
1750;AsaTaku29
630;AshleyB_Tv
636;asmir1
1218;aspas10
24;AssouEkotto
1;aymen_abdennour
620;babarahmangh
1757;Badstuber
34;Bahoken1993
1223;Bakambu17
148;bakdib
37;BalmontFlo
458;BaptisteReynet
2342;Baselli
938;Beezymason97
722;Ben_Davies33
775;BenFoster
810;BenHamer21
310;Benj_Lecomte
20;Benj0308
314;benleroy30
956;benmendy23
2135;BenPavard28
1177;BenWoodburn
1237;Benzema
868;beramangela
1092;BernardoCSilva
2058;Bernd_Leno
2361;Bertolacci
1792;Bico333
266;BiinGouss
646;BillingPhilip
647;BlindDaley
2287;BobbyS_Wood
68;BODMERmathieu
2375;Bonazzoli97
2377;bonucci_leo19
2379;borinifabio29
2380;borriellomarco1
498;BounaSarr_10
75;BourigeaudB29
1103;BradleySmith38
1964;BranimirHrgota
2385;BrignoliAlberto
662;Britts_7
419;Bryan_Pele
1342;burgui21
1813;BussmannGaetan
403;c_nk97
659;C1audioBravo
85;CaillardM
597;cakpom
1818;caldiluca3
1171;CallumWilson
685;CalumChambers95
658;Cameron246bran
2409;Capezzi
676;carras16
1267;CarrascoY21
92;carrilloguido11
619;CesarAzpi
762;cesc4official
684;chalobah
48;ChaoukiBensaada
557;charlestraore23
590;Charlie26Adam
717;CharlieDaniels
1124;charlietaylor09
616;chazaustin10
1282;Cheryshev
2428;chiellini
327;ChkMBengue
2099;Chris_Cutmore
860;chriskabasele27
1101;ChrisSmalling
2432;Ciciretti
2587;ciroimmobile
97;Cissokhoissa28
2662;ClaMarchisio8
926;ClaudeMakelele
1458;clement_lenglet
228;clemgrenier
168;CoachDupraz
1742;coke23andujar
1165;ConnorWickham10
254;CorentinJean7
2254;CorentinTolisso
110;Coulibaly_26
2152;cpulisic_10
2366;Cris_Biraghi
2452;Cristante
1624;Cristiano
2752;D_10Perotti
728;D_DeGea
1012;D_Ospina1
120;dabsperestroika
1112;DaleJStephens
117;dam1dasilva
13;DaniAlvesD2
2809;DanieleRugani
2886;danieleverde53
1118;DanielSturridge
1094;dannysimpson
123;dante_bonfim
721;DarmianOfficial
855;daryljanmaat89
2327;DavideAstori
2402;davidecalabria2
916;DavidLuiz_4
1662;DavidSoria18
2212;davieselke27
877;DavyKlaassen
1031;DavyPropper
621;DBachmann1
2460;ddambrosio
727;DeBruyneKev
1299;Dembouz
965;demetrimitche11
2773;dennispraet
772;DFletcherSport
142;Diakhaby_5
706;diegocosta
1374;diegogodin
1604;diegorico_3
417;dimpayet17
2469;Dirono
2122;DivockOrigi
507;DjibrilSidibeS3
2446;douglascosta
483;DoumsSamassa
165;dreymnc3
2685;dries_mertens14
786;dwightgayle
1186;DZappacosta
292;e_kwateng
93;ECavaniOfficial
2504;EdDzeko
2434;Edercitadin7
1883;eforsberg10
862;ekachunga15
1868;EkdalAlbin
1018;ElgatoPereira1
929;Elia22Mangala
757;ElNennyM
839;emersonhyndman
479;EmilianoSala1
2898;EmilianoViviano
1516;Emremor29
179;Erasmus_95
742;ericdier
893;ErikLamela
370;ErlaM3
150;etiennedidot
181;Evra
265;f_kamano
1989;FabianJohnson23
2398;fabryele10
183;FALCAO
